Model Marker Errors from IK
version=1
nRows=750
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00649904	      0.01471852	      0.02432818
      0.00500000	      0.00624045	      0.01442273	      0.02338788
      0.01000000	      0.00622010	      0.01439919	      0.02269588
      0.01500000	      0.00581781	      0.01392576	      0.02300066
      0.02000000	      0.00585075	      0.01396514	      0.02190883
      0.02500000	      0.00584577	      0.01395920	      0.02202233
      0.03000000	      0.00587115	      0.01398946	      0.02230867
      0.03500000	      0.00591278	      0.01403897	      0.02245776
      0.04000000	      0.00595838	      0.01409301	      0.02234516
      0.04500000	      0.00599239	      0.01413317	      0.02250679
      0.05000000	      0.00603307	      0.01418105	      0.02262413
      0.05500000	      0.00604530	      0.01419542	      0.02246886
      0.06000000	      0.00605549	      0.01420739	      0.02261400
      0.06500000	      0.00606186	      0.01421485	      0.02266012
      0.07000000	      0.00606099	      0.01421383	      0.02262242
      0.07500000	      0.00602014	      0.01416585	      0.02252272
      0.08000000	      0.00602045	      0.01416622	      0.02246575
      0.08500000	      0.00600568	      0.01414883	      0.02250264
      0.09000000	      0.00599306	      0.01413395	      0.02242588
      0.09500000	      0.00602156	      0.01416753	      0.02234326
      0.10000000	      0.00607575	      0.01423113	      0.02224558
      0.10500000	      0.00605688	      0.01420901	      0.02237889
      0.11000000	      0.00611635	      0.01427860	      0.02227137
      0.11500000	      0.00614521	      0.01431225	      0.02252088
      0.12000000	      0.00621444	      0.01439264	      0.02234696
      0.12500000	      0.00623909	      0.01442115	      0.02267197
      0.13000000	      0.00629098	      0.01448100	      0.02263322
      0.13500000	      0.00630111	      0.01449266	      0.02285702
      0.14000000	      0.00635174	      0.01455076	      0.02295587
      0.14500000	      0.00635873	      0.01455877	      0.02304603
      0.15000000	      0.00639462	      0.01459980	      0.02322288
      0.15500000	      0.00641598	      0.01462416	      0.02338719
      0.16000000	      0.00643603	      0.01464699	      0.02351308
      0.16500000	      0.00645082	      0.01466381	      0.02347032
      0.17000000	      0.00647630	      0.01469274	      0.02356444
      0.17500000	      0.00648684	      0.01470469	      0.02380056
      0.18000000	      0.00650563	      0.01472597	      0.02378855
      0.18500000	      0.00654138	      0.01476638	      0.02395832
      0.19000000	      0.00656179	      0.01478940	      0.02404134
      0.19500000	      0.00658855	      0.01481952	      0.02415106
      0.20000000	      0.00660826	      0.01484168	      0.02422084
      0.20500000	      0.00663335	      0.01486983	      0.02426913
      0.21000000	      0.00665846	      0.01489794	      0.02441476
      0.21500000	      0.00669042	      0.01493365	      0.02446573
      0.22000000	      0.00673553	      0.01498391	      0.02446921
      0.22500000	      0.00672619	      0.01497353	      0.02481949
      0.23000000	      0.00675943	      0.01501048	      0.02485058
      0.23500000	      0.00677484	      0.01502757	      0.02464959
      0.24000000	      0.00682103	      0.01507872	      0.02462512
      0.24500000	      0.00681622	      0.01507340	      0.02448910
      0.25000000	      0.00683248	      0.01509136	      0.02459429
      0.25500000	      0.00684342	      0.01510344	      0.02467416
      0.26000000	      0.00683708	      0.01509645	      0.02438990
      0.26500000	      0.00684769	      0.01510816	      0.02451627
      0.27000000	      0.00685808	      0.01511962	      0.02458300
      0.27500000	      0.00686868	      0.01513129	      0.02459458
      0.28000000	      0.00688030	      0.01514408	      0.02454958
      0.28500000	      0.00688925	      0.01515393	      0.02447300
      0.29000000	      0.00689546	      0.01516076	      0.02446125
      0.29500000	      0.00689794	      0.01516348	      0.02459364
      0.30000000	      0.00685213	      0.01511305	      0.02411080
      0.30500000	      0.00685611	      0.01511744	      0.02433277
      0.31000000	      0.00685279	      0.01511378	      0.02448566
      0.31500000	      0.00684496	      0.01510514	      0.02456859
      0.32000000	      0.00683470	      0.01509382	      0.02465656
      0.32500000	      0.00678283	      0.01503643	      0.02442255
      0.33000000	      0.00678687	      0.01504091	      0.02463031
      0.33500000	      0.00678203	      0.01503555	      0.02474561
      0.34000000	      0.00676328	      0.01501474	      0.02430892
      0.34500000	      0.00674082	      0.01498980	      0.02441013
      0.35000000	      0.00672979	      0.01497753	      0.02447888
      0.35500000	      0.00671582	      0.01496197	      0.02409428
      0.36000000	      0.00670748	      0.01495268	      0.02405900
      0.36500000	      0.00670484	      0.01494974	      0.02411062
      0.37000000	      0.00670802	      0.01495328	      0.02414694
      0.37500000	      0.00671857	      0.01496503	      0.02374756
      0.38000000	      0.00672118	      0.01496794	      0.02362842
      0.38500000	      0.00676980	      0.01502199	      0.02381003
      0.39000000	      0.00673350	      0.01498165	      0.02344395
      0.39500000	      0.00674120	      0.01499022	      0.02349343
      0.40000000	      0.00672218	      0.01496905	      0.02315762
      0.40500000	      0.00671375	      0.01495967	      0.02289612
      0.41000000	      0.00669379	      0.01493742	      0.02282132
      0.41500000	      0.00666075	      0.01490050	      0.02273828
      0.42000000	      0.00661789	      0.01485248	      0.02264269
      0.42500000	      0.00651541	      0.01473704	      0.02268335
      0.43000000	      0.00648103	      0.01469811	      0.02252473
      0.43500000	      0.00645708	      0.01467093	      0.02238763
      0.44000000	      0.00644666	      0.01465908	      0.02227766
      0.44500000	      0.00645429	      0.01466776	      0.02214650
      0.45000000	      0.00648039	      0.01469738	      0.02198978
      0.45500000	      0.00650997	      0.01473088	      0.02182396
      0.46000000	      0.00650034	      0.01471999	      0.02187919
      0.46500000	      0.00648785	      0.01470584	      0.02175895
      0.47000000	      0.00647089	      0.01468661	      0.02159357
      0.47500000	      0.00635581	      0.01455543	      0.02179358
      0.48000000	      0.00625751	      0.01444242	      0.02142046
      0.48500000	      0.00616074	      0.01433032	      0.02118932
      0.49000000	      0.00605755	      0.01420980	      0.02137396
      0.49500000	      0.00592546	      0.01405401	      0.02093058
      0.50000000	      0.00583725	      0.01394902	      0.02090693
      0.50500000	      0.00569724	      0.01378071	      0.02034390
      0.51000000	      0.00564676	      0.01371952	      0.02026420
      0.51500000	      0.00555691	      0.01360994	      0.01988499
      0.52000000	      0.00544284	      0.01346953	      0.01983401
      0.52500000	      0.00536013	      0.01336679	      0.01914207
      0.53000000	      0.00513385	      0.01308160	      0.01942931
      0.53500000	      0.00506158	      0.01298920	      0.01905237
      0.54000000	      0.00501949	      0.01293509	      0.01901713
      0.54500000	      0.00502334	      0.01294004	      0.01925191
      0.55000000	      0.00501593	      0.01293050	      0.01942535
      0.55500000	      0.00504758	      0.01297123	      0.01933002
      0.56000000	      0.00507595	      0.01300762	      0.01969245
      0.56500000	      0.00510658	      0.01304682	      0.01967679
      0.57000000	      0.00513952	      0.01308882	      0.02020941
      0.57500000	      0.00511114	      0.01305264	      0.01949646
      0.58000000	      0.00512789	      0.01307401	      0.01989616
      0.58500000	      0.00511485	      0.01305737	      0.01975264
      0.59000000	      0.00512194	      0.01306642	      0.02010304
      0.59500000	      0.00508751	      0.01302243	      0.02002521
      0.60000000	      0.00509995	      0.01303834	      0.02008283
      0.60500000	      0.00511306	      0.01305509	      0.02012278
      0.61000000	      0.00513104	      0.01307803	      0.02014520
      0.61500000	      0.00512293	      0.01306768	      0.02009139
      0.62000000	      0.00513874	      0.01308784	      0.02063893
      0.62500000	      0.00517512	      0.01313407	      0.02077343
      0.63000000	      0.00520221	      0.01316841	      0.02095021
      0.63500000	      0.00518721	      0.01314941	      0.02105438
      0.64000000	      0.00521997	      0.01319087	      0.02132448
      0.64500000	      0.00519869	      0.01316396	      0.02149119
      0.65000000	      0.00519911	      0.01316448	      0.02174393
      0.65500000	      0.00519302	      0.01315678	      0.02199578
      0.66000000	      0.00521789	      0.01318824	      0.02228801
      0.66500000	      0.00518761	      0.01314992	      0.02237742
      0.67000000	      0.00518799	      0.01315040	      0.02252164
      0.67500000	      0.00519211	      0.01315562	      0.02264557
      0.68000000	      0.00519421	      0.01315828	      0.02273044
      0.68500000	      0.00519625	      0.01316086	      0.02278440
      0.69000000	      0.00519608	      0.01316065	      0.02276113
      0.69500000	      0.00522065	      0.01319172	      0.02285950
      0.70000000	      0.00519209	      0.01315559	      0.02277053
      0.70500000	      0.00518758	      0.01314988	      0.02256086
      0.71000000	      0.00520267	      0.01316899	      0.02257458
      0.71500000	      0.00518604	      0.01314793	      0.02221735
      0.72000000	      0.00518092	      0.01314144	      0.02191344
      0.72500000	      0.00518817	      0.01315062	      0.02168728
      0.73000000	      0.00518792	      0.01315031	      0.02135624
      0.73500000	      0.00520431	      0.01317107	      0.02124846
      0.74000000	      0.00524521	      0.01322272	      0.02090243
      0.74500000	      0.00521933	      0.01319006	      0.02067012
      0.75000000	      0.00527873	      0.01326490	      0.02126040
      0.75500000	      0.00526410	      0.01324651	      0.02114861
      0.76000000	      0.00526855	      0.01325211	      0.02119731
      0.76500000	      0.00529656	      0.01328729	      0.02153294
      0.77000000	      0.00532307	      0.01332050	      0.02178338
      0.77500000	      0.00534380	      0.01334641	      0.02180479
      0.78000000	      0.00537765	      0.01338861	      0.02205711
      0.78500000	      0.00539502	      0.01341022	      0.02204765
      0.79000000	      0.00544461	      0.01347171	      0.02232118
      0.79500000	      0.00549821	      0.01353786	      0.02256205
      0.80000000	      0.00555855	      0.01361194	      0.02275347
      0.80500000	      0.00561841	      0.01368504	      0.02246948
      0.81000000	      0.00569850	      0.01378224	      0.02278676
