Model Marker Errors from IK
version=1
nRows=661
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00711762	      0.01540305	      0.02700846
      0.00500000	      0.00716120	      0.01545014	      0.02751761
      0.01000000	      0.00720192	      0.01549399	      0.02812768
      0.01500000	      0.00724145	      0.01553646	      0.02876583
      0.02000000	      0.00732562	      0.01562649	      0.02964340
      0.02500000	      0.00733032	      0.01563150	      0.02990422
      0.03000000	      0.00735034	      0.01565284	      0.03019965
      0.03500000	      0.00739250	      0.01569767	      0.03061964
      0.04000000	      0.00745716	      0.01576616	      0.03075015
      0.04500000	      0.00748246	      0.01579289	      0.03106061
      0.05000000	      0.00745994	      0.01576911	      0.03057383
      0.05500000	      0.00738438	      0.01568904	      0.03002683
      0.06000000	      0.00742452	      0.01573162	      0.03006295
      0.06500000	      0.00741857	      0.01572531	      0.03036853
      0.07000000	      0.00738090	      0.01568535	      0.03038132
      0.07500000	      0.00737927	      0.01568361	      0.03040080
      0.08000000	      0.00736017	      0.01566330	      0.03034680
      0.08500000	      0.00732832	      0.01562937	      0.03038542
      0.09000000	      0.00727302	      0.01557029	      0.03030483
      0.09500000	      0.00721979	      0.01551321	      0.03024560
      0.10000000	      0.00716324	      0.01545233	      0.03003747
      0.10500000	      0.00710048	      0.01538450	      0.02934466
      0.11000000	      0.00702609	      0.01530369	      0.02945203
      0.11500000	      0.00702523	      0.01530275	      0.02941860
      0.12000000	      0.00700429	      0.01527994	      0.02901196
      0.12500000	      0.00705878	      0.01533925	      0.02934610
      0.13000000	      0.00709079	      0.01537399	      0.02934416
      0.13500000	      0.00692081	      0.01518860	      0.02896846
      0.14000000	      0.00689963	      0.01516534	      0.02902140
      0.14500000	      0.00683463	      0.01509374	      0.02867371
      0.15000000	      0.00671284	      0.01495865	      0.02793869
      0.15500000	      0.00658817	      0.01481910	      0.02742563
      0.16000000	      0.00638363	      0.01458724	      0.02776764
      0.16500000	      0.00618370	      0.01435700	      0.02703095
      0.17000000	      0.00599171	      0.01413236	      0.02797172
      0.17500000	      0.00583526	      0.01394664	      0.02745952
      0.18000000	      0.00565562	      0.01373028	      0.02661005
      0.18500000	      0.00559726	      0.01365925	      0.02734873
      0.19000000	      0.00554790	      0.01359889	      0.02712347
      0.19500000	      0.00553220	      0.01357964	      0.02750482
      0.20000000	      0.00548759	      0.01352478	      0.02722957
      0.20500000	      0.00557216	      0.01362860	      0.02830403
      0.21000000	      0.00556474	      0.01361952	      0.02880538
      0.21500000	      0.00563109	      0.01370047	      0.02883983
      0.22000000	      0.00569144	      0.01377370	      0.02907403
      0.22500000	      0.00577121	      0.01386988	      0.02891734
      0.23000000	      0.00577021	      0.01386868	      0.02947381
      0.23500000	      0.00584360	      0.01395660	      0.02939129
      0.24000000	      0.00579964	      0.01390400	      0.02909109
      0.24500000	      0.00580080	      0.01390539	      0.02887782
      0.25000000	      0.00577549	      0.01387502	      0.02864801
      0.25500000	      0.00573776	      0.01382963	      0.02878844
      0.26000000	      0.00571214	      0.01379872	      0.02849509
      0.26500000	      0.00567656	      0.01375568	      0.02871883
      0.27000000	      0.00565134	      0.01372508	      0.02840910
      0.27500000	      0.00564831	      0.01372141	      0.02810897
      0.28000000	      0.00567938	      0.01375909	      0.02783702
      0.28500000	      0.00571716	      0.01380478	      0.02751484
      0.29000000	      0.00573594	      0.01382744	      0.02720969
      0.29500000	      0.00571089	      0.01379721	      0.02683620
      0.30000000	      0.00564081	      0.01371229	      0.02616604
      0.30500000	      0.00557983	      0.01363797	      0.02605759
      0.31000000	      0.00552842	      0.01357501	      0.02574887
      0.31500000	      0.00549121	      0.01352924	      0.02525523
      0.32000000	      0.00549159	      0.01352971	      0.02511229
      0.32500000	      0.00549188	      0.01353007	      0.02470166
      0.33000000	      0.00551009	      0.01355248	      0.02480463
      0.33500000	      0.00551313	      0.01355621	      0.02486005
      0.34000000	      0.00551678	      0.01356070	      0.02478585
      0.34500000	      0.00553284	      0.01358042	      0.02457063
      0.35000000	      0.00552527	      0.01357113	      0.02439680
      0.35500000	      0.00556332	      0.01361778	      0.02420234
      0.36000000	      0.00549144	      0.01352952	      0.02403267
      0.36500000	      0.00551511	      0.01355865	      0.02386733
      0.37000000	      0.00550595	      0.01354738	      0.02361695
      0.37500000	      0.00556006	      0.01361380	      0.02351938
      0.38000000	      0.00549230	      0.01353058	      0.02333929
      0.38500000	      0.00551992	      0.01356456	      0.02309369
      0.39000000	      0.00553470	      0.01358271	      0.02301759
      0.39500000	      0.00557468	      0.01363167	      0.02276348
      0.40000000	      0.00558590	      0.01364539	      0.02254659
      0.40500000	      0.00564209	      0.01371385	      0.02218574
      0.41000000	      0.00570206	      0.01378654	      0.02183851
      0.41500000	      0.00572659	      0.01381616	      0.02155595
      0.42000000	      0.00581062	      0.01391716	      0.02177135
      0.42500000	      0.00589762	      0.01402096	      0.02195650
      0.43000000	      0.00589817	      0.01402162	      0.02159595
      0.43500000	      0.00599880	      0.01414073	      0.02178703
      0.44000000	      0.00610056	      0.01426015	      0.02244441
      0.44500000	      0.00622279	      0.01440230	      0.02314991
      0.45000000	      0.00636257	      0.01456316	      0.02387717
      0.45500000	      0.00649624	      0.01471534	      0.02442773
      0.46000000	      0.00666557	      0.01490589	      0.02515518
      0.46500000	      0.00685167	      0.01511255	      0.02566690
      0.47000000	      0.00704843	      0.01532800	      0.02558639
      0.47500000	      0.00721964	      0.01551305	      0.02581524
      0.48000000	      0.00731542	      0.01561561	      0.02517622
      0.48500000	      0.00744125	      0.01574934	      0.02454864
      0.49000000	      0.00753145	      0.01584451	      0.02407373
      0.49500000	      0.00759933	      0.01591575	      0.02398580
      0.50000000	      0.00754649	      0.01586032	      0.02403703
      0.50500000	      0.00758367	      0.01589934	      0.02413863
      0.51000000	      0.00753736	      0.01585072	      0.02421372
      0.51500000	      0.00747436	      0.01578434	      0.02415955
      0.52000000	      0.00745602	      0.01576497	      0.02419617
      0.52500000	      0.00742817	      0.01573549	      0.02396811
      0.53000000	      0.00741488	      0.01572141	      0.02386496
      0.53500000	      0.00740625	      0.01571226	      0.02488373
      0.54000000	      0.00746166	      0.01577093	      0.02593586
      0.54500000	      0.00756537	      0.01588014	      0.02626087
      0.55000000	      0.00768263	      0.01600274	      0.02712258
      0.55500000	      0.00781022	      0.01613508	      0.02687443
      0.56000000	      0.00791804	      0.01624606	      0.02677491
      0.56500000	      0.00796269	      0.01629180	      0.02653358
      0.57000000	      0.00792481	      0.01625301	      0.02653492
      0.57500000	      0.00780639	      0.01613112	      0.02603051
      0.58000000	      0.00762452	      0.01594210	      0.02554361
      0.58500000	      0.00738278	      0.01568734	      0.02483305
      0.59000000	      0.00711122	      0.01539613	      0.02440733
      0.59500000	      0.00682001	      0.01507759	      0.02350912
      0.60000000	      0.00657791	      0.01480756	      0.02341224
      0.60500000	      0.00637136	      0.01457322	      0.02303079
      0.61000000	      0.00623538	      0.01441686	      0.02329814
      0.61500000	      0.00622494	      0.01440480	      0.02288641
      0.62000000	      0.00624200	      0.01442451	      0.02298948
      0.62500000	      0.00629584	      0.01448659	      0.02306879
      0.63000000	      0.00639624	      0.01460165	      0.02346577
      0.63500000	      0.00652732	      0.01475051	      0.02365369
      0.64000000	      0.00666885	      0.01490956	      0.02375877
      0.64500000	      0.00680125	      0.01505683	      0.02383749
      0.65000000	      0.00692205	      0.01518997	      0.02388465
      0.65500000	      0.00702085	      0.01529799	      0.02372483
      0.66000000	      0.00709446	      0.01537797	      0.02390931
      0.66500000	      0.00713535	      0.01542222	      0.02409125
      0.67000000	      0.00715907	      0.01544784	      0.02404993
