IKResults
version=1
nRows=1500
nColumns=67
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	knee_rot_r	knee_adduc_r	ankle_angle_r	ankle_rot_r	ankle_add_r	subtalar_angle_r	mtp_angle_r	mtp_rot_r	mtp_add_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	knee_rot_l	knee_adduc_l	ankle_angle_l	ankle_rot_l	ankle_add_l	subtalar_angle_l	mtp_angle_l	mtp_rot_l	mtp_add_l	lumbar_extension	lumbar_bending	lumbar_rotation	neck_flexion	neck_lateral_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	elbow_rot_r	elbow_add_r	pro_sup_r	wrist_flex_r	wrist_adduc_r	wrist_rot_r	wrist_dev_r	hand_finger_flex_r	hand_finger_adduc_r	hand_finger_rot_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	elbow_rot_l	elbow_add_l	pro_sup_l	wrist_flex_l	wrist_adduc_l	wrist_rot_l	wrist_dev_l	hand_finger_flex_l	hand_finger_adduc_l	hand_finger_rot_l
      0.00000000	     -9.13690311	     -4.12647201	     -2.33213766	     -2.65423155	      0.62520138	      0.73277871	     23.02025177	     -3.08304765	     -7.94617414	    -40.83089424	     -5.00000000	     -2.42346785	     22.38143278	     -5.00000000	      0.14657550	    -25.60460257	     -0.58224484	     -2.00000000	      1.07417430	     42.74127964	    -12.48414083	      8.52702697	    -48.26872487	      5.00000000	     -1.88521727	     19.78059237	      1.60034003	      5.00000000	    -14.16812383	      4.71309443	      0.62689853	     -2.00000000	     -5.79113181	      6.13934335	     14.81979752	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     -9.21565829	     -4.17034989	     -2.20569752	     -2.65225605	      0.62507030	      0.73218666	     22.87403976	     -3.06621224	     -7.92512057	    -40.80958843	     -5.00000000	     -2.43423240	     22.37418367	     -5.00000000	      0.17326688	    -25.60126176	     -0.60458589	     -2.00000000	      1.07915062	     42.98040102	    -12.56375431	      8.45019356	    -47.35557830	      5.00000000	     -2.04762868	     19.77280488	      1.58142217	      5.00000000	    -14.20103960	      4.72522108	      0.62340969	     -2.00000000	     -5.83368722	      6.02199917	     14.88217431	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	     -9.35910548	     -4.08759035	     -2.13712915	     -2.64901915	      0.62525381	      0.73164453	     22.52246412	     -3.09023442	     -7.89606616	    -40.41859881	     -5.00000000	     -2.59283443	     22.34928475	     -5.00000000	      0.24995251	    -25.62739368	     -0.67594238	     -2.00000000	      1.09312015	     42.98913865	    -12.60795826	      8.22437184	    -46.25186236	      5.00000000	     -2.29691114	     19.72730250	      1.58889755	      5.00000000	    -14.33109433	      4.75767977	      0.61793936	     -2.00000000	     -5.48960352	      5.82063150	     14.92648725	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     -9.43626704	     -4.13660678	     -1.98431751	     -2.64694805	      0.62512973	      0.73098035	     22.36161105	     -3.09499635	     -7.93317938	    -40.40308119	     -5.00000000	     -2.60209446	     22.33994506	     -5.00000000	      0.27769950	    -25.63920867	     -0.70219403	     -2.00000000	      1.09833183	     43.19173429	    -12.64407478	      8.09801903	    -45.36301047	      5.00000000	     -2.39812095	     19.70819246	      1.60746153	      5.00000000	    -14.38685566	      4.76724190	      0.61639995	     -2.00000000	     -5.50461069	      5.71575588	     15.05349558	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     -9.55946695	     -4.02250099	     -1.91484394	     -2.64364115	      0.62527346	      0.73028140	     21.97808416	     -3.18582748	     -7.99917514	    -39.98967626	     -5.00000000	     -2.79653162	     22.30533618	     -5.00000000	      0.36656286	    -25.69880420	     -0.79008072	     -2.00000000	      1.11352175	     43.15317916	    -12.60395849	      7.70698759	    -44.35441775	      5.00000000	     -2.52124556	     19.62013531	      1.69493262	      5.00000000	    -14.57185634	      4.79617495	      0.61364622	     -2.00000000	     -5.15086555	      5.49493536	     15.07916956	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	     -9.49053478	     -3.54359144	     -1.81883103	     -2.64107562	      0.62541489	      0.72914666	     21.67382635	     -3.79812647	     -8.34137992	    -39.94931892	     -5.00000000	     -3.14281065	     22.17256198	     -5.00000000	      0.77600087	    -25.87510394	     -1.17572123	     -2.00000000	      1.18823577	     42.89958683	    -12.07435854	      6.56881867	    -43.33184097	      5.00000000	     -2.11115592	     19.16083144	      1.80297736	      5.00000000	    -15.21968174	      4.95224610	      0.56218687	     -2.00000000	     -5.19412117	      4.86065700	     15.17715925	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	     -9.55134036	     -3.58303660	     -1.68911954	     -2.63824605	      0.62537445	      0.72843394	     21.34058162	     -3.79787031	     -8.17531469	    -39.76870402	     -5.00000000	     -3.05421423	     22.18145843	     -5.00000000	      0.84343769	    -25.86410241	     -1.23398642	     -2.00000000	      1.20535806	     42.94087307	    -12.10854673	      6.37289031	    -42.56750665	      5.00000000	     -2.26003726	     19.07199242	      1.72821364	      5.00000000	    -15.27210484	      4.98580634	      0.54097096	     -2.00000000	     -5.02746175	      4.77698058	     15.23606017	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	     -9.59066851	     -3.54671754	     -1.55743626	     -2.63542937	      0.62530971	      0.72765360	     21.00205631	     -3.89395656	     -8.11569076	    -39.59199819	     -5.00000000	     -3.03057087	     22.21482619	     -5.00000000	      0.93526744	    -25.92293998	     -1.32657984	     -2.00000000	      1.23125526	     42.94283403	    -12.03623699	      6.01661183	    -41.83655316	      5.00000000	     -2.30493738	     18.97030855	      1.69377501	      5.00000000	    -15.40642169	      5.03374864	      0.52176283	     -2.00000000	     -4.90166451	      4.59595163	     15.29188925	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	     -9.62230609	     -3.61149144	     -1.39170843	     -2.63294761	      0.62499478	      0.72684935	     20.79153971	     -3.92466072	     -8.13135497	    -39.67588899	     -5.00000000	     -3.01175297	     22.22426805	     -5.00000000	      0.96467013	    -25.94748109	     -1.35606253	     -2.00000000	      1.23895074	     43.05460501	    -12.01516151	      5.83468186	    -41.27113911	      5.00000000	     -2.37611275	     18.94135844	      1.69524033	      5.00000000	    -15.45420020	      5.04679607	      0.51742935	     -2.00000000	     -4.86402076	      4.49794275	     15.40181352	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	     -8.97644818	     -2.61261980	     -1.36684562	     -2.62949880	      0.62578049	      0.72501364	     19.78699252	     -5.27516766	     -7.45031292	    -39.68134008	     -5.00000000	     -2.61047221	     22.36386228	     -5.00000000	      2.00218458	    -26.29938607	     -2.27146209	     -2.00000000	      1.47276468	     41.82675047	    -10.88376729	      3.80154597	    -40.20224567	      5.00000000	     -1.55488844	     17.99366360	      0.89377065	      5.00000000	    -16.39713129	      5.53606266	      0.29908443	     -2.00000000	     -5.45524239	      3.35171289	     15.47687431	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.05000000	     -9.02608389	     -2.71793209	     -1.23955437	     -2.62689411	      0.62535503	      0.72429464	     19.58959717	     -5.20870935	     -7.45205714	    -39.74811546	     -5.00000000	     -2.64935918	     22.39572195	     -5.00000000	      2.01276639	    -26.33227829	     -2.28890211	     -2.00000000	      1.48214563	     41.92251787	    -10.88884350	      3.70230307	    -39.68740331	      5.00000000	     -1.63990624	     18.01217786	      0.91852849	      5.00000000	    -16.45812514	      5.54786084	      0.30160567	     -2.00000000	     -5.38626951	      3.28587763	     15.62483028	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.05500000	     -9.08863888	     -2.79983544	     -1.13259897	     -2.62384081	      0.62494722	      0.72344164	     19.33988003	     -5.18913065	     -7.48132048	    -39.75902648	     -5.00000000	     -2.68761198	     22.42533284	     -5.00000000	      2.03022759	    -26.37762246	     -2.31237491	     -2.00000000	      1.49225578	     41.92597749	    -10.86491250	      3.56318273	    -39.13196990	      5.00000000	     -1.73763703	     18.01975083	      0.94611208	      5.00000000	    -16.52274867	      5.56003708	      0.30339921	     -2.00000000	     -5.20514898	      3.23027714	     15.76066891	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.06000000	     -9.15083988	     -2.85430420	     -1.03980584	     -2.62063079	      0.62448175	      0.72251045	     19.08072068	     -5.21059610	     -7.52709570	    -39.76634335	     -5.00000000	     -2.74815158	     22.44729598	     -5.00000000	      2.05605675	    -26.43079792	     -2.34139286	     -2.00000000	      1.50248586	     41.87873749	    -10.78504840	      3.43174609	    -38.58780155	      5.00000000	     -1.79296140	     18.01337373	      0.96518912	      5.00000000	    -16.58144977	      5.57274384	      0.30278844	     -2.00000000	     -4.99768291	      3.14489325	     15.88763874	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.06500000	     -8.59158982	     -2.04041219	     -0.85036153	     -2.61676088	      0.62485944	      0.72034911	     18.08065640	     -6.43846971	     -7.46588579	    -39.70830137	     -5.00000000	     -2.61883306	     22.46507828	     -5.00000000	      2.97098337	    -26.75441778	     -3.03435882	     -2.00000000	      1.72385472	     40.75245138	     -9.58561367	      2.02873657	    -37.66240548	      5.00000000	     -1.10273144	     17.39949828	      0.54316463	      5.00000000	    -17.29512830	      5.92488432	      0.15656748	     -2.00000000	     -5.43472700	      2.22414007	     15.83585342	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.07000000	     -8.63184030	     -2.11574128	     -0.82033398	     -2.61360329	      0.62418989	      0.71947563	     17.89302552	     -6.41353906	     -7.46516632	    -39.86882122	     -5.00000000	     -2.72327656	     22.50685880	     -5.00000000	      2.99556506	    -26.80099441	     -3.06028673	     -2.00000000	      1.74013744	     40.64908163	     -9.52306988	      2.07545202	    -37.21928911	      5.00000000	     -1.18291437	     17.36482804	      0.47020876	      5.00000000	    -17.29330440	      5.94532764	      0.14235639	     -2.00000000	     -5.28265097	      2.14693966	     16.00527062	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.07500000	     -8.66605787	     -2.16672038	     -0.77898550	     -2.61022823	      0.62345117	      0.71852483	     17.68412320	     -6.43923032	     -7.48961459	    -40.04608274	     -5.00000000	     -2.81120124	     22.52555105	     -5.00000000	      3.02583960	    -26.83935559	     -3.08624598	     -2.00000000	      1.75327040	     40.50400339	     -9.39518569	      2.15238710	    -36.86919091	      5.00000000	     -1.22057872	     17.30528484	      0.37405766	      5.00000000	    -17.26314462	      5.96390137	      0.12356268	     -2.00000000	     -5.08780932	      2.02878925	     16.20321920	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.08000000	     -8.62206280	     -1.89654966	     -0.79659132	     -2.60636338	      0.62285051	      0.71726054	     17.34850962	     -6.85875938	     -7.60622591	    -40.13340168	     -5.00000000	     -3.00576888	     22.52665978	     -5.00000000	      3.17208032	    -26.93721904	     -3.19102240	     -2.00000000	      1.79696948	     40.11415499	     -8.95871968	      2.28190750	    -36.58203081	      5.00000000	     -1.38490996	     17.04409996	     -0.01079351	      5.00000000	    -17.13198701	      6.03918384	      0.04561891	     -2.00000000	     -4.88374188	      1.60605360	     16.41727955	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
