Model Marker Errors from IK
version=1
nRows=2201
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00649729	      0.01471653	      0.02743949
      0.00500000	      0.00643848	      0.01464978	      0.02717012
      0.01000000	      0.00649253	      0.01471114	      0.02707412
      0.01500000	      0.00632047	      0.01451489	      0.02736830
      0.02000000	      0.00637354	      0.01457571	      0.02733609
      0.02500000	      0.00634713	      0.01454548	      0.02734017
      0.03000000	      0.00640556	      0.01461228	      0.02754578
      0.03500000	      0.00649480	      0.01471371	      0.02758125
      0.04000000	      0.00648110	      0.01469819	      0.02848143
      0.04500000	      0.00656633	      0.01479451	      0.02843257
      0.05000000	      0.00652698	      0.01475012	      0.02862054
      0.05500000	      0.00656280	      0.01479054	      0.02838060
      0.06000000	      0.00662699	      0.01486269	      0.02897980
      0.06500000	      0.00665087	      0.01488945	      0.02863308
      0.07000000	      0.00656886	      0.01479736	      0.02833315
      0.07500000	      0.00666057	      0.01490030	      0.02836023
      0.08000000	      0.00673347	      0.01498163	      0.02850751
      0.08500000	      0.00666472	      0.01490495	      0.02902260
      0.09000000	      0.00666706	      0.01490756	      0.02888886
      0.09500000	      0.00663133	      0.01486756	      0.02867425
      0.10000000	      0.00659706	      0.01482910	      0.02850654
      0.10500000	      0.00657953	      0.01480938	      0.02837221
      0.11000000	      0.00660041	      0.01483286	      0.02921423
      0.11500000	      0.00658688	      0.01481765	      0.02899423
      0.12000000	      0.00655744	      0.01478449	      0.02880721
      0.12500000	      0.00652600	      0.01474901	      0.02868384
      0.13000000	      0.00650361	      0.01472369	      0.02859295
      0.13500000	      0.00647305	      0.01468906	      0.02849875
      0.14000000	      0.00644142	      0.01465312	      0.02841202
      0.14500000	      0.00643964	      0.01465109	      0.02886529
      0.15000000	      0.00637254	      0.01457456	      0.02860466
      0.15500000	      0.00633412	      0.01453057	      0.02858123
      0.16000000	      0.00629102	      0.01448105	      0.02837322
      0.16500000	      0.00626256	      0.01444825	      0.02852594
      0.17000000	      0.00622612	      0.01440616	      0.02890858
      0.17500000	      0.00619456	      0.01436960	      0.02891236
      0.18000000	      0.00618852	      0.01436259	      0.02919964
      0.18500000	      0.00614620	      0.01431340	      0.02913849
      0.19000000	      0.00613647	      0.01430206	      0.02933113
      0.19500000	      0.00608248	      0.01423901	      0.02916500
      0.20000000	      0.00603466	      0.01418293	      0.02903692
      0.20500000	      0.00598122	      0.01411999	      0.02888898
      0.21000000	      0.00595783	      0.01409235	      0.02875056
      0.21500000	      0.00583955	      0.01395176	      0.02834584
      0.22000000	      0.00577259	      0.01387155	      0.02822824
      0.22500000	      0.00559780	      0.01365992	      0.02690120
      0.23000000	      0.00551757	      0.01356167	      0.02685129
      0.23500000	      0.00543662	      0.01346183	      0.02669052
      0.24000000	      0.00537156	      0.01338104	      0.02657609
      0.24500000	      0.00536101	      0.01336789	      0.02665208
      0.25000000	      0.00523948	      0.01321550	      0.02600330
