Model Marker Errors from IK
version=1
nRows=1054
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00694453	      0.01521461	      0.02342427
      0.00500000	      0.00684350	      0.01510354	      0.02386060
      0.01000000	      0.00691848	      0.01518605	      0.02365956
      0.01500000	      0.00697711	      0.01525025	      0.02363703
      0.02000000	      0.00704490	      0.01532417	      0.02350659
      0.02500000	      0.00706246	      0.01534325	      0.02341266
      0.03000000	      0.00704595	      0.01532530	      0.02336671
      0.03500000	      0.00703059	      0.01530859	      0.02350737
      0.04000000	      0.00692107	      0.01518888	      0.02374574
      0.04500000	      0.00683193	      0.01509076	      0.02384407
      0.05000000	      0.00674012	      0.01498902	      0.02403869
      0.05500000	      0.00666569	      0.01490603	      0.02423865
      0.06000000	      0.00663346	      0.01486994	      0.02431934
      0.06500000	      0.00661876	      0.01485346	      0.02442675
      0.07000000	      0.00662166	      0.01485672	      0.02462163
      0.07500000	      0.00665766	      0.01489704	      0.02478862
      0.08000000	      0.00675020	      0.01500022	      0.02497057
      0.08500000	      0.00674469	      0.01499409	      0.02539017
      0.09000000	      0.00677936	      0.01503259	      0.02538908
      0.09500000	      0.00683006	      0.01508869	      0.02562607
      0.10000000	      0.00679747	      0.01505265	      0.02587486
      0.10500000	      0.00683695	      0.01509631	      0.02596877
      0.11000000	      0.00683768	      0.01509711	      0.02608794
      0.11500000	      0.00675649	      0.01500721	      0.02597738
      0.12000000	      0.00677738	      0.01503040	      0.02604735
      0.12500000	      0.00673729	      0.01498587	      0.02604241
      0.13000000	      0.00675966	      0.01501073	      0.02609170
      0.13500000	      0.00676398	      0.01501553	      0.02609188
      0.14000000	      0.00669032	      0.01493354	      0.02607935
      0.14500000	      0.00670747	      0.01495267	      0.02609029
      0.15000000	      0.00670341	      0.01494814	      0.02607271
      0.15500000	      0.00662710	      0.01486281	      0.02608178
      0.16000000	      0.00664427	      0.01488206	      0.02607467
      0.16500000	      0.00664666	      0.01488473	      0.02606262
      0.17000000	      0.00658887	      0.01481988	      0.02608564
      0.17500000	      0.00660894	      0.01484244	      0.02609580
