Model Marker Errors from IK
version=1
nRows=1500
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00536254	      0.01336979	      0.02439057
      0.00500000	      0.00526251	      0.01324450	      0.02406138
      0.01000000	      0.00531805	      0.01331422	      0.02427393
      0.01500000	      0.00523314	      0.01320750	      0.02385875
      0.02000000	      0.00529621	      0.01328685	      0.02419963
      0.02500000	      0.00526336	      0.01324558	      0.02415905
      0.03000000	      0.00525157	      0.01323073	      0.02418765
      0.03500000	      0.00523047	      0.01320413	      0.02416151
      0.04000000	      0.00514031	      0.01308983	      0.02385759
      0.04500000	      0.00519364	      0.01315756	      0.02416671
      0.05000000	      0.00510399	      0.01304351	      0.02391621
      0.05500000	      0.00506902	      0.01299874	      0.02386560
      0.06000000	      0.00504460	      0.01296739	      0.02382783
      0.06500000	      0.00511267	      0.01305459	      0.02402583
      0.07000000	      0.00506590	      0.01299474	      0.02387885
      0.07500000	      0.00504934	      0.01297349	      0.02374834
      0.08000000	      0.00510406	      0.01304360	      0.02384694
      0.08500000	      0.00507896	      0.01301148	      0.02368598
      0.09000000	      0.00508689	      0.01302163	      0.02341374
      0.09500000	      0.00511204	      0.01305378	      0.02353962
      0.10000000	      0.00515200	      0.01310471	      0.02339773
      0.10500000	      0.00522963	      0.01320306	      0.02372547
      0.11000000	      0.00515096	      0.01310338	      0.02319448
      0.11500000	      0.00527677	      0.01326244	      0.02378461
      0.12000000	      0.00524563	      0.01322324	      0.02328477
      0.12500000	      0.00525711	      0.01323771	      0.02338433
      0.13000000	      0.00521522	      0.01318487	      0.02317609
      0.13500000	      0.00530561	      0.01329864	      0.02334492
      0.14000000	      0.00529664	      0.01328739	      0.02329145
      0.14500000	      0.00529711	      0.01328798	      0.02323102
      0.15000000	      0.00533297	      0.01333287	      0.02329458
      0.15500000	      0.00537858	      0.01338977	      0.02335248
      0.16000000	      0.00553784	      0.01358656	      0.02382149
      0.16500000	      0.00545630	      0.01348616	      0.02333233
      0.17000000	      0.00563613	      0.01370660	      0.02382103
      0.17500000	      0.00561938	      0.01368623	      0.02354738
      0.18000000	      0.00577798	      0.01387802	      0.02395522
      0.18500000	      0.00570384	      0.01378869	      0.02354840
      0.19000000	      0.00585577	      0.01397113	      0.02398980
      0.19500000	      0.00575730	      0.01385316	      0.02369254
      0.20000000	      0.00587768	      0.01399724	      0.02411772
      0.20500000	      0.00573991	      0.01383222	      0.02376231
      0.21000000	      0.00576259	      0.01385952	      0.02391131
      0.21500000	      0.00571798	      0.01380578	      0.02389181
      0.22000000	      0.00573387	      0.01382494	      0.02408256
      0.22500000	      0.00565892	      0.01373429	      0.02395447
      0.23000000	      0.00566472	      0.01374132	      0.02411363
      0.23500000	      0.00558310	      0.01364196	      0.02398877
      0.24000000	      0.00552592	      0.01357194	      0.02384066
      0.24500000	      0.00557756	      0.01363520	      0.02413409
      0.25000000	      0.00547573	      0.01351015	      0.02381737
      0.25500000	      0.00546107	      0.01349206	      0.02384084
      0.26000000	      0.00550599	      0.01354744	      0.02401705
      0.26500000	      0.00545171	      0.01348049	      0.02381999
      0.27000000	      0.00548512	      0.01352174	      0.02395004
      0.27500000	      0.00549915	      0.01353902	      0.02391741
      0.28000000	      0.00552161	      0.01356664	      0.02392873
      0.28500000	      0.00553892	      0.01358789	      0.02386327
      0.29000000	      0.00546600	      0.01349814	      0.02346358
      0.29500000	      0.00550862	      0.01355066	      0.02352954
      0.30000000	      0.00553301	      0.01358064	      0.02348151
      0.30500000	      0.00554587	      0.01359641	      0.02336024
      0.31000000	      0.00555758	      0.01361075	      0.02327752
      0.31500000	      0.00549704	      0.01353643	      0.02302804
      0.32000000	      0.00552312	      0.01356850	      0.02308884
      0.32500000	      0.00553892	      0.01358789	      0.02307949
      0.33000000	      0.00554494	      0.01359527	      0.02305966
      0.33500000	      0.00554972	      0.01360112	      0.02300569
      0.34000000	      0.00554963	      0.01360102	      0.02291554
      0.34500000	      0.00554664	      0.01359736	      0.02285135
      0.35000000	      0.00555588	      0.01360867	      0.02278267
      0.35500000	      0.00555687	      0.01360989	      0.02281217
      0.36000000	      0.00555899	      0.01361249	      0.02286467
      0.36500000	      0.00556329	      0.01361774	      0.02288737
      0.37000000	      0.00551814	      0.01356237	      0.02266914
      0.37500000	      0.00551356	      0.01355674	      0.02252418
      0.38000000	      0.00551084	      0.01355340	      0.02238364
      0.38500000	      0.00551019	      0.01355260	      0.02227952
      0.39000000	      0.00550541	      0.01354672	      0.02216690
      0.39500000	      0.00553130	      0.01357853	      0.02241957
      0.40000000	      0.00551401	      0.01355730	      0.02224144
      0.40500000	      0.00549396	      0.01353263	      0.02212394
      0.41000000	      0.00548313	      0.01351928	      0.02217341
      0.41500000	      0.00550795	      0.01354985	      0.02216413
      0.42000000	      0.00546290	      0.01349432	      0.02216406
      0.42500000	      0.00555474	      0.01360728	      0.02215150
      0.43000000	      0.00552500	      0.01357080	      0.02204606
      0.43500000	      0.00546576	      0.01349786	      0.02203799
      0.44000000	      0.00560794	      0.01367228	      0.02278036
      0.44500000	      0.00556198	      0.01361614	      0.02236131
      0.45000000	      0.00554405	      0.01359418	      0.02217332
      0.45500000	      0.00552425	      0.01356989	      0.02201686
      0.46000000	      0.00551916	      0.01356362	      0.02184279
      0.46500000	      0.00559184	      0.01365265	      0.02225844
      0.47000000	      0.00551651	      0.01356037	      0.02182400
      0.47500000	      0.00559386	      0.01365510	      0.02221507
      0.48000000	      0.00560044	      0.01366314	      0.02229004
      0.48500000	      0.00559672	      0.01365860	      0.02219350
      0.49000000	      0.00559220	      0.01365308	      0.02205440
      0.49500000	      0.00559953	      0.01366203	      0.02201862
