Model Marker Errors from IK
version=1
nRows=700
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00522519	      0.01319746	      0.02206514
      0.00500000	      0.00523920	      0.01321515	      0.02141462
      0.01000000	      0.00518807	      0.01315050	      0.02081063
      0.01500000	      0.00517346	      0.01313197	      0.02058129
      0.02000000	      0.00520110	      0.01316700	      0.02059597
      0.02500000	      0.00515709	      0.01311118	      0.02023841
      0.03000000	      0.00517993	      0.01314018	      0.02029951
      0.03500000	      0.00513280	      0.01308026	      0.01983135
      0.04000000	      0.00515838	      0.01311282	      0.01961102
      0.04500000	      0.00517146	      0.01312944	      0.01965708
      0.05000000	      0.00518070	      0.01314116	      0.01972044
      0.05500000	      0.00522872	      0.01320191	      0.02000038
      0.06000000	      0.00527951	      0.01326588	      0.02026361
      0.06500000	      0.00534256	      0.01334486	      0.02051322
      0.07000000	      0.00541435	      0.01343423	      0.02076695
      0.07500000	      0.00548792	      0.01352519	      0.02053702
      0.08000000	      0.00558321	      0.01364210	      0.02107860
      0.08500000	      0.00567619	      0.01375523	      0.02131812
      0.09000000	      0.00580802	      0.01391405	      0.02135880
      0.09500000	      0.00586890	      0.01398677	      0.02145346
      0.10000000	      0.00595449	      0.01408840	      0.02153853
      0.10500000	      0.00599040	      0.01413082	      0.02153211
      0.11000000	      0.00608018	      0.01423631	      0.02236287
      0.11500000	      0.00618488	      0.01435837	      0.02313495
      0.12000000	      0.00629947	      0.01449077	      0.02379864
      0.12500000	      0.00637329	      0.01457543	      0.02376521
      0.13000000	      0.00646114	      0.01467554	      0.02438674
      0.13500000	      0.00654596	      0.01477155	      0.02492591
      0.14000000	      0.00659020	      0.01482138	      0.02486919
      0.14500000	      0.00663384	      0.01487038	      0.02518463
      0.15000000	      0.00671465	      0.01496067	      0.02505686
      0.15500000	      0.00663607	      0.01487287	      0.02567951
      0.16000000	      0.00664168	      0.01487916	      0.02578078
      0.16500000	      0.00657119	      0.01479999	      0.02575887
      0.17000000	      0.00654239	      0.01476752	      0.02530208
      0.17500000	      0.00648316	      0.01470052	      0.02489659
      0.18000000	      0.00634055	      0.01453794	      0.02509138
      0.18500000	      0.00626160	      0.01444714	      0.02463397
      0.19000000	      0.00618093	      0.01435378	      0.02437152
      0.19500000	      0.00609608	      0.01425492	      0.02420177
      0.20000000	      0.00602771	      0.01417476	      0.02429161
      0.20500000	      0.00598134	      0.01412013	      0.02444727
      0.21000000	      0.00600132	      0.01414369	      0.02402259
      0.21500000	      0.00596011	      0.01409505	      0.02445620
      0.22000000	      0.00602524	      0.01417185	      0.02382187
      0.22500000	      0.00599113	      0.01413168	      0.02412736
      0.23000000	      0.00603508	      0.01418342	      0.02344837
      0.23500000	      0.00599274	      0.01413357	      0.02335037
      0.24000000	      0.00598366	      0.01412287	      0.02279153
      0.24500000	      0.00591511	      0.01404173	      0.02231207
      0.25000000	      0.00583653	      0.01394816	      0.02198251
      0.25500000	      0.00577661	      0.01387637	      0.02166002
      0.26000000	      0.00571548	      0.01380275	      0.02110955
      0.26500000	      0.00563971	      0.01371096	      0.02068351
      0.27000000	      0.00564077	      0.01371224	      0.02035549
      0.27500000	      0.00558874	      0.01364885	      0.02023513
      0.28000000	      0.00558651	      0.01364614	      0.02008137
      0.28500000	      0.00559896	      0.01366133	      0.02007830
      0.29000000	      0.00562000	      0.01368698	      0.02016575
      0.29500000	      0.00558774	      0.01364763	      0.01973504
