Model Marker Errors from IK
version=1
nRows=450
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00715993	      0.01544877	      0.02590053
      0.00500000	      0.00719068	      0.01548190	      0.02590103
      0.01000000	      0.00715560	      0.01544409	      0.02529704
      0.01500000	      0.00717753	      0.01546774	      0.02538303
      0.02000000	      0.00718863	      0.01547970	      0.02524781
      0.02500000	      0.00722001	      0.01551344	      0.02520511
      0.03000000	      0.00726414	      0.01556078	      0.02531215
      0.03500000	      0.00728913	      0.01558753	      0.02503900
      0.04000000	      0.00731288	      0.01561291	      0.02519283
      0.04500000	      0.00736129	      0.01566449	      0.02512629
      0.05000000	      0.00747045	      0.01578021	      0.02488244
      0.05500000	      0.00748052	      0.01579084	      0.02480795
      0.06000000	      0.00755420	      0.01586842	      0.02444977
      0.06500000	      0.00755481	      0.01586906	      0.02430047
      0.07000000	      0.00755573	      0.01587002	      0.02393386
      0.07500000	      0.00756235	      0.01587697	      0.02383919
      0.08000000	      0.00748019	      0.01579050	      0.02378746
      0.08500000	      0.00734252	      0.01564451	      0.02357673
      0.09000000	      0.00724867	      0.01554421	      0.02342373
      0.09500000	      0.00709259	      0.01537595	      0.02347554
      0.10000000	      0.00696251	      0.01523429	      0.02334030
      0.10500000	      0.00682805	      0.01508647	      0.02317497
      0.11000000	      0.00650276	      0.01472273	      0.02239749
      0.11500000	      0.00635515	      0.01455467	      0.02238376
      0.12000000	      0.00623600	      0.01441758	      0.02229157
      0.12500000	      0.00616905	      0.01433998	      0.02180257
      0.13000000	      0.00604353	      0.01419334	      0.02171221
      0.13500000	      0.00595835	      0.01409296	      0.02126101
      0.14000000	      0.00592612	      0.01405479	      0.02080506
      0.14500000	      0.00590415	      0.01402872	      0.02068074
      0.15000000	      0.00582496	      0.01393432	      0.02028348
      0.15500000	      0.00585187	      0.01396647	      0.02024891
      0.16000000	      0.00581229	      0.01391916	      0.01989443
      0.16500000	      0.00580607	      0.01391171	      0.01997591
      0.17000000	      0.00567446	      0.01375313	      0.02009033
      0.17500000	      0.00556137	      0.01361539	      0.01976824
      0.18000000	      0.00544524	      0.01347249	      0.01967379
      0.18500000	      0.00523041	      0.01320406	      0.01994142
      0.19000000	      0.00510917	      0.01305012	      0.01943683
      0.19500000	      0.00499844	      0.01290793	      0.01962486
      0.20000000	      0.00491683	      0.01280212	      0.01957263
      0.20500000	      0.00485889	      0.01272647	      0.01958043
      0.21000000	      0.00484745	      0.01271148	      0.01967139
      0.21500000	      0.00483730	      0.01269816	      0.01969751
      0.22000000	      0.00483545	      0.01269573	      0.01930826
      0.22500000	      0.00486362	      0.01273266	      0.01950911
      0.23000000	      0.00492849	      0.01281729	      0.02012492
      0.23500000	      0.00490442	      0.01278595	      0.01894689
      0.24000000	      0.00494856	      0.01284336	      0.01923084
      0.24500000	      0.00502099	      0.01293701	      0.01985777
      0.25000000	      0.00501041	      0.01292338	      0.01952357
      0.25500000	      0.00506735	      0.01299660	      0.01965428
      0.26000000	      0.00504720	      0.01297074	      0.01966865
      0.26500000	      0.00505088	      0.01297547	      0.01993737
      0.27000000	      0.00504407	      0.01296671	      0.02009052
      0.27500000	      0.00502257	      0.01293906	      0.02018627
      0.28000000	      0.00499347	      0.01290151	      0.02026807
      0.28500000	      0.00495436	      0.01285089	      0.02025783
      0.29000000	      0.00493691	      0.01282824	      0.02025686
      0.29500000	      0.00491586	      0.01280086	      0.02038412
      0.30000000	      0.00490029	      0.01278057	      0.02038799
      0.30500000	      0.00489648	      0.01277561	      0.02041705
      0.31000000	      0.00490039	      0.01278070	      0.02027265
      0.31500000	      0.00491564	      0.01280058	      0.02024452
      0.32000000	      0.00492375	      0.01281112	      0.01947872
      0.32500000	      0.00494595	      0.01283997	      0.01947327
      0.33000000	      0.00496728	      0.01286764	      0.01946416
      0.33500000	      0.00498464	      0.01289010	      0.01943497
      0.34000000	      0.00499707	      0.01290616	      0.01936517
