Model Marker Errors from IK
version=1
nRows=560
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00546757	      0.01350009	      0.02260145
      0.00500000	      0.00558956	      0.01364986	      0.02262395
      0.01000000	      0.00563197	      0.01370155	      0.02272037
      0.01500000	      0.00567905	      0.01375870	      0.02250218
      0.02000000	      0.00567840	      0.01375791	      0.02182037
      0.02500000	      0.00570291	      0.01378757	      0.02154151
      0.03000000	      0.00572114	      0.01380959	      0.02122085
      0.03500000	      0.00574271	      0.01383559	      0.02092682
      0.04000000	      0.00567903	      0.01375868	      0.01923491
      0.04500000	      0.00572166	      0.01381021	      0.01933097
      0.05000000	      0.00577558	      0.01387514	      0.01947584
      0.05500000	      0.00584266	      0.01395548	      0.02006968
      0.06000000	      0.00592268	      0.01405072	      0.02069885
      0.06500000	      0.00601676	      0.01416188	      0.02137169
      0.07000000	      0.00617375	      0.01434544	      0.02117254
      0.07500000	      0.00624428	      0.01442716	      0.02216381
      0.08000000	      0.00633948	      0.01453671	      0.02298447
      0.08500000	      0.00638691	      0.01459099	      0.02301675
      0.09000000	      0.00647120	      0.01468696	      0.02389822
      0.09500000	      0.00657355	      0.01480265	      0.02452196
      0.10000000	      0.00667173	      0.01491278	      0.02501403
      0.10500000	      0.00676780	      0.01501976	      0.02532348
      0.11000000	      0.00686210	      0.01512405	      0.02472421
      0.11500000	      0.00691164	      0.01517854	      0.02506879
      0.12000000	      0.00695437	      0.01522539	      0.02525578
      0.12500000	      0.00700994	      0.01528610	      0.02491321
      0.13000000	      0.00690113	      0.01516699	      0.02549207
      0.13500000	      0.00688738	      0.01515188	      0.02548944
      0.14000000	      0.00690510	      0.01517135	      0.02491218
      0.14500000	      0.00686331	      0.01512538	      0.02480672
      0.15000000	      0.00681159	      0.01506828	      0.02482525
      0.15500000	      0.00676298	      0.01501442	      0.02492424
      0.16000000	      0.00672618	      0.01497351	      0.02516424
      0.16500000	      0.00670626	      0.01495133	      0.02547172
      0.17000000	      0.00670836	      0.01495366	      0.02588139
      0.17500000	      0.00674043	      0.01498936	      0.02624595
      0.18000000	      0.00686204	      0.01512397	      0.02602096
      0.18500000	      0.00684794	      0.01510843	      0.02659447
      0.19000000	      0.00694155	      0.01521135	      0.02602935
      0.19500000	      0.00689729	      0.01516277	      0.02619275
      0.20000000	      0.00683048	      0.01508916	      0.02576034
      0.20500000	      0.00670626	      0.01495133	      0.02524145
      0.21000000	      0.00662651	      0.01486215	      0.02445763
      0.21500000	      0.00637036	      0.01457208	      0.02384961
      0.22000000	      0.00622132	      0.01440061	      0.02316026
      0.22500000	      0.00609433	      0.01425287	      0.02288536
      0.23000000	      0.00597678	      0.01411475	      0.02241212
      0.23500000	      0.00588878	      0.01401045	      0.02192266
      0.24000000	      0.00577917	      0.01387944	      0.02169710
      0.24500000	      0.00576345	      0.01386056	      0.02105735
      0.25000000	      0.00567265	      0.01375094	      0.02107099
      0.25500000	      0.00571136	      0.01379777	      0.02116629
      0.26000000	      0.00575654	      0.01385224	      0.02156436
      0.26500000	      0.00583111	      0.01394167	      0.02168909
      0.27000000	      0.00587510	      0.01399417	      0.02169923
      0.27500000	      0.00592064	      0.01404830	      0.02218674
      0.28000000	      0.00595759	      0.01409207	      0.02228031
      0.28500000	      0.00600577	      0.01414894	      0.02234766
      0.29000000	      0.00600786	      0.01415140	      0.02223216
      0.29500000	      0.00601802	      0.01416336	      0.02224527
      0.30000000	      0.00601055	      0.01415456	      0.02232839
      0.30500000	      0.00600799	      0.01415155	      0.02208219
      0.31000000	      0.00597229	      0.01410944	      0.02189545
      0.31500000	      0.00594568	      0.01407798	      0.02175294
      0.32000000	      0.00591941	      0.01404684	      0.02170604
      0.32500000	      0.00589205	      0.01401434	      0.02159202
      0.33000000	      0.00588660	      0.01400786	      0.02135452
      0.33500000	      0.00584912	      0.01396319	      0.02148868
      0.34000000	      0.00584331	      0.01395625	      0.02151049
      0.34500000	      0.00583148	      0.01394212	      0.02139125
      0.35000000	      0.00583075	      0.01394124	      0.02154660
      0.35500000	      0.00582851	      0.01393856	      0.02137867
      0.36000000	      0.00584662	      0.01396021	      0.02147085
      0.36500000	      0.00583934	      0.01395151	      0.02142494
      0.37000000	      0.00585556	      0.01397087	      0.02163942
      0.37500000	      0.00586860	      0.01398643	      0.02175985
      0.38000000	      0.00587354	      0.01399231	      0.02167057
      0.38500000	      0.00588935	      0.01401113	      0.02189610
      0.39000000	      0.00590210	      0.01402628	      0.02204491
      0.39500000	      0.00594135	      0.01407285	      0.02210226
      0.40000000	      0.00593379	      0.01406389	      0.02181861
      0.40500000	      0.00597625	      0.01411412	      0.02172844
      0.41000000	      0.00597046	      0.01410728	      0.02206743
      0.41500000	      0.00598901	      0.01412918	      0.02190597
      0.42000000	      0.00603773	      0.01418653	      0.02175559
      0.42500000	      0.00601365	      0.01415821	      0.02249906
      0.43000000	      0.00603239	      0.01418025	      0.02226113
      0.43500000	      0.00604536	      0.01419549	      0.02220163
      0.44000000	      0.00605597	      0.01420794	      0.02229206
      0.44500000	      0.00603161	      0.01417933	      0.02294848
      0.45000000	      0.00605771	      0.01420998	      0.02251962
      0.45500000	      0.00603240	      0.01418027	      0.02308354
      0.46000000	      0.00605753	      0.01420977	      0.02261828
      0.46500000	      0.00606701	      0.01422089	      0.02247506
      0.47000000	      0.00601932	      0.01416489	      0.02292627
      0.47500000	      0.00602689	      0.01417379	      0.02264478
      0.48000000	      0.00603171	      0.01417946	      0.02250695
      0.48500000	      0.00603427	      0.01418247	      0.02245260
      0.49000000	      0.00603679	      0.01418543	      0.02244079
      0.49500000	      0.00597845	      0.01411671	      0.02271109
      0.50000000	      0.00599802	      0.01413980	      0.02260946
      0.50500000	      0.00601486	      0.01415964	      0.02258202
      0.51000000	      0.00603609	      0.01418461	      0.02259437
      0.51500000	      0.00602276	      0.01416893	      0.02288310
      0.52000000	      0.00604019	      0.01418942	      0.02302893
      0.52500000	      0.00609154	      0.01424961	      0.02286204
      0.53000000	      0.00613955	      0.01430565	      0.02281138
      0.53500000	      0.00619308	      0.01436788	      0.02280995
      0.54000000	      0.00623267	      0.01441373	      0.02304332
      0.54500000	      0.00629730	      0.01448827	      0.02289658
      0.55000000	      0.00635978	      0.01455997	      0.02279156
      0.55500000	      0.00642242	      0.01463150	      0.02299199
      0.56000000	      0.00647047	      0.01468613	      0.02331528
      0.56500000	      0.00651608	      0.01473779	      0.02348459
      0.57000000	      0.00654340	      0.01476866	      0.02405299
      0.57500000	      0.00654489	      0.01477034	      0.02408192
      0.58000000	      0.00652735	      0.01475054	      0.02418104
      0.58500000	      0.00648757	      0.01470552	      0.02427750
      0.59000000	      0.00643455	      0.01464531	      0.02439341
      0.59500000	      0.00635103	      0.01454995	      0.02439339
      0.60000000	      0.00627364	      0.01446102	      0.02428418
      0.60500000	      0.00620296	      0.01437934	      0.02417082
      0.61000000	      0.00614464	      0.01431158	      0.02408885
      0.61500000	      0.00609876	      0.01425805	      0.02396528
      0.62000000	      0.00608091	      0.01423717	      0.02412519
      0.62500000	      0.00603634	      0.01418490	      0.02415722
      0.63000000	      0.00599068	      0.01413115	      0.02463977
      0.63500000	      0.00599311	      0.01413401	      0.02448701
      0.64000000	      0.00598460	      0.01412398	      0.02471952
      0.64500000	      0.00597839	      0.01411664	      0.02459790
      0.65000000	      0.00589153	      0.01401373	      0.02488773
      0.65500000	      0.00589277	      0.01401520	      0.02497868
      0.66000000	      0.00582054	      0.01392904	      0.02501552
      0.66500000	      0.00566213	      0.01373819	      0.02495659
      0.67000000	      0.00558002	      0.01363820	      0.02502736
      0.67500000	      0.00548754	      0.01352472	      0.02505557
      0.68000000	      0.00539038	      0.01340445	      0.02499042
      0.68500000	      0.00522601	      0.01319849	      0.02550896
      0.69000000	      0.00518318	      0.01314430	      0.02553672
      0.69500000	      0.00513688	      0.01308546	      0.02594681
      0.70000000	      0.00514887	      0.01310073	      0.02624915
      0.70500000	      0.00516011	      0.01311501	      0.02670174
      0.71000000	      0.00522707	      0.01319983	      0.02718839
      0.71500000	      0.00528782	      0.01327633	      0.02750011
      0.72000000	      0.00538428	      0.01339686	      0.02789923
      0.72500000	      0.00548060	      0.01351616	      0.02823233
      0.73000000	      0.00557111	      0.01362731	      0.02816287
      0.73500000	      0.00564058	      0.01371201	      0.02871142
      0.74000000	      0.00571186	      0.01379838	      0.02872627
      0.74500000	      0.00571351	      0.01380038	      0.02894922
      0.75000000	      0.00575834	      0.01385441	      0.02900388
      0.75500000	      0.00577871	      0.01387890	      0.02887624
      0.76000000	      0.00578019	      0.01388067	      0.02872189
      0.76500000	      0.00571475	      0.01380187	      0.02888286
      0.77000000	      0.00571565	      0.01380296	      0.02889523
      0.77500000	      0.00569026	      0.01377226	      0.02864022
      0.78000000	      0.00559600	      0.01365772	      0.02803651
      0.78500000	      0.00556099	      0.01361493	      0.02773413
      0.79000000	      0.00551737	      0.01356143	      0.02737616
      0.79500000	      0.00552558	      0.01357152	      0.02736007
      0.80000000	      0.00543895	      0.01346470	      0.02668311
      0.80500000	      0.00541451	      0.01343442	      0.02624445
      0.81000000	      0.00538386	      0.01339634	      0.02578818
      0.81500000	      0.00535401	      0.01335916	      0.02529472
      0.82000000	      0.00533328	      0.01333327	      0.02476844
      0.82500000	      0.00530950	      0.01330351	      0.02428371
      0.83000000	      0.00528501	      0.01327279	      0.02374814
      0.83500000	      0.00525596	      0.01323627	      0.02319602
      0.84000000	      0.00521914	      0.01318981	      0.02241523
      0.84500000	      0.00519773	      0.01316274	      0.02203554
      0.85000000	      0.00515460	      0.01310801	      0.02119925
      0.85500000	      0.00513768	      0.01308648	      0.02094329
      0.86000000	      0.00514795	      0.01309956	      0.02075766
      0.86500000	      0.00505844	      0.01298517	      0.02062697
      0.87000000	      0.00505003	      0.01297437	      0.02041378
      0.87500000	      0.00502041	      0.01293626	      0.02039454
      0.88000000	      0.00503103	      0.01294994	      0.02027765
      0.88500000	      0.00498025	      0.01288442	      0.01968993
      0.89000000	      0.00500491	      0.01291629	      0.01969835
      0.89500000	      0.00495929	      0.01285729	      0.01928674
      0.90000000	      0.00499683	      0.01290585	      0.01919890
      0.90500000	      0.00494777	      0.01284234	      0.01891055
      0.91000000	      0.00496616	      0.01286618	      0.01904676
      0.91500000	      0.00499666	      0.01290563	      0.01931289
      0.92000000	      0.00502681	      0.01294452	      0.01957306
      0.92500000	      0.00507127	      0.01300163	      0.01969520
      0.93000000	      0.00512193	      0.01306641	      0.01974237
      0.93500000	      0.00519240	      0.01315598	      0.01991840
      0.94000000	      0.00527045	      0.01325450	      0.02002631
      0.94500000	      0.00535769	      0.01336375	      0.02007316
      0.95000000	      0.00545838	      0.01348874	      0.02011359
      0.95500000	      0.00557278	      0.01362936	      0.02014511
      0.96000000	      0.00569726	      0.01378073	      0.02056666
      0.96500000	      0.00584179	      0.01395443	      0.02157647
      0.97000000	      0.00600567	      0.01414882	      0.02256694
      0.97500000	      0.00621354	      0.01439159	      0.02226898
      0.98000000	      0.00636679	      0.01456799	      0.02341913
      0.98500000	      0.00652472	      0.01474756	      0.02438941
      0.99000000	      0.00666498	      0.01490523	      0.02416969
      0.99500000	      0.00676656	      0.01501838	      0.02489013
      1.00000000	      0.00685531	      0.01511655	      0.02525541
      1.00500000	      0.00692772	      0.01519618	      0.02461686
      1.01000000	      0.00693981	      0.01520944	      0.02464747
      1.01500000	      0.00691249	      0.01517947	      0.02483442
      1.02000000	      0.00686619	      0.01512855	      0.02495296
      1.02500000	      0.00678553	      0.01503943	      0.02465873
      1.03000000	      0.00670925	      0.01495465	      0.02457662
      1.03500000	      0.00663625	      0.01487307	      0.02449675
      1.04000000	      0.00656467	      0.01479265	      0.02434332
      1.04500000	      0.00651219	      0.01473340	      0.02419184
      1.05000000	      0.00647670	      0.01469320	      0.02407099
      1.05500000	      0.00648132	      0.01469843	      0.02457583
      1.06000000	      0.00648598	      0.01470372	      0.02460018
      1.06500000	      0.00653944	      0.01476419	      0.02473730
      1.07000000	      0.00657748	      0.01480707	      0.02476552
      1.07500000	      0.00657572	      0.01480508	      0.02514190
      1.08000000	      0.00655386	      0.01478046	      0.02494085
      1.08500000	      0.00650616	      0.01472657	      0.02516367
      1.09000000	      0.00645553	      0.01466917	      0.02481326
      1.09500000	      0.00639041	      0.01459498	      0.02526143
