Model Marker Errors from IK
version=1
nRows=700
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00608431	      0.01424114	      0.02871078
      0.00500000	      0.00591481	      0.01404138	      0.02957332
      0.01000000	      0.00568759	      0.01376903	      0.02866743
      0.01500000	      0.00508840	      0.01302356	      0.02037537
      0.02000000	      0.00497422	      0.01287662	      0.02030107
      0.02500000	      0.00484292	      0.01270554	      0.01959478
      0.03000000	      0.00472757	      0.01255331	      0.02052280
      0.03500000	      0.00469506	      0.01251008	      0.02026977
      0.04000000	      0.00466543	      0.01247054	      0.02060058
      0.04500000	      0.00463848	      0.01243447	      0.02084735
      0.05000000	      0.00469737	      0.01251315	      0.02050993
      0.05500000	      0.00474880	      0.01258146	      0.02138665
      0.06000000	      0.00486234	      0.01273098	      0.02155862
      0.06500000	      0.00499112	      0.01289847	      0.02135825
      0.07000000	      0.00510257	      0.01304169	      0.02158541
      0.07500000	      0.00525702	      0.01323760	      0.02180356
      0.08000000	      0.00531285	      0.01330771	      0.02256265
      0.08500000	      0.00539202	      0.01340649	      0.02249898
      0.09000000	      0.00538010	      0.01339167	      0.02224396
      0.09500000	      0.00541078	      0.01342979	      0.02247708
      0.10000000	      0.00536320	      0.01337062	      0.02214274
      0.10500000	      0.00533671	      0.01333756	      0.02288934
      0.11000000	      0.00529278	      0.01328255	      0.02268869
      0.11500000	      0.00527969	      0.01326611	      0.02275982
      0.12000000	      0.00520240	      0.01316866	      0.02241990
      0.12500000	      0.00516573	      0.01312216	      0.02237325
      0.13000000	      0.00515014	      0.01310233	      0.02226891
      0.13500000	      0.00513833	      0.01308731	      0.02206968
      0.14000000	      0.00514218	      0.01309221	      0.02189763
      0.14500000	      0.00517576	      0.01313488	      0.02153046
      0.15000000	      0.00517408	      0.01313276	      0.02138598
      0.15500000	      0.00520775	      0.01317542	      0.02117386
      0.16000000	      0.00522735	      0.01320019	      0.02099703
      0.16500000	      0.00522772	      0.01320066	      0.02082066
      0.17000000	      0.00523304	      0.01320737	      0.02060250
      0.17500000	      0.00523180	      0.01320581	      0.02043831
      0.18000000	      0.00520501	      0.01317195	      0.01973156
      0.18500000	      0.00519920	      0.01316460	      0.01974248
      0.19000000	      0.00518761	      0.01314991	      0.01928509
      0.19500000	      0.00518891	      0.01315156	      0.01929311
      0.20000000	      0.00518850	      0.01315104	      0.01907961
      0.20500000	      0.00518667	      0.01314873	      0.01902708
      0.21000000	      0.00519518	      0.01315951	      0.01907742
      0.21500000	      0.00519284	      0.01315655	      0.01911851
      0.22000000	      0.00520676	      0.01317416	      0.01923059
      0.22500000	      0.00522944	      0.01320283	      0.01934214
      0.23000000	      0.00526172	      0.01324352	      0.01944511
      0.23500000	      0.00530592	      0.01329903	      0.01948814
      0.24000000	      0.00535319	      0.01335813	      0.01952175
      0.24500000	      0.00542961	      0.01345314	      0.01958962
      0.25000000	      0.00550680	      0.01354843	      0.01973459
      0.25500000	      0.00560714	      0.01367131	      0.01987665
      0.26000000	      0.00572596	      0.01381540	      0.02061202
      0.26500000	      0.00583142	      0.01394204	      0.02071679
      0.27000000	      0.00595080	      0.01408404	      0.02156773
      0.27500000	      0.00607236	      0.01422716	      0.02232723
      0.28000000	      0.00618422	      0.01435760	      0.02300944
      0.28500000	      0.00629566	      0.01448639	      0.02293777
      0.29000000	      0.00635745	      0.01455730	      0.02358211
      0.29500000	      0.00641699	      0.01462530	      0.02347139
      0.30000000	      0.00641822	      0.01462671	      0.02347787
      0.30500000	      0.00642124	      0.01463015	      0.02379739
      0.31000000	      0.00640078	      0.01460682	      0.02364341
      0.31500000	      0.00640840	      0.01461551	      0.02367505
      0.32000000	      0.00633102	      0.01452701	      0.02366130
      0.32500000	      0.00627786	      0.01446589	      0.02369795
      0.33000000	      0.00616784	      0.01433857	      0.02334597
      0.33500000	      0.00609309	      0.01425142	      0.02339904
      0.34000000	      0.00603038	      0.01417790	      0.02247346
      0.34500000	      0.00592661	      0.01405538	      0.02275248
      0.35000000	      0.00587472	      0.01399372	      0.02241420
      0.35500000	      0.00583184	      0.01394255	      0.02230797
      0.36000000	      0.00579885	      0.01390306	      0.02304390
      0.36500000	      0.00580218	      0.01390705	      0.02225487
      0.37000000	      0.00579512	      0.01389858	      0.02257445
      0.37500000	      0.00582510	      0.01393449	      0.02262953
      0.38000000	      0.00585358	      0.01396851	      0.02295749
      0.38500000	      0.00590550	      0.01403032	      0.02264651
      0.39000000	      0.00592593	      0.01405457	      0.02303794
      0.39500000	      0.00592536	      0.01405389	      0.02287327
      0.40000000	      0.00590080	      0.01402475	      0.02284352
      0.40500000	      0.00585328	      0.01396816	      0.02258088
      0.41000000	      0.00578274	      0.01388373	      0.02215388
      0.41500000	      0.00569689	      0.01378029	      0.02158746
      0.42000000	      0.00556830	      0.01362387	      0.02066866
      0.42500000	      0.00543355	      0.01345802	      0.02043696
      0.43000000	      0.00532331	      0.01332079	      0.02008551
      0.43500000	      0.00517770	      0.01313735	      0.01961023
      0.44000000	      0.00512515	      0.01307052	      0.01932120
      0.44500000	      0.00511848	      0.01306200	      0.01907053
      0.45000000	      0.00516597	      0.01312246	      0.01922778
      0.45500000	      0.00524634	      0.01322414	      0.01931597
      0.46000000	      0.00526975	      0.01325362	      0.01973787
      0.46500000	      0.00538687	      0.01340009	      0.02004074
      0.47000000	      0.00552123	      0.01356617	      0.02041681
      0.47500000	      0.00561289	      0.01367832	      0.02078233
      0.48000000	      0.00571736	      0.01380502	      0.02101240
      0.48500000	      0.00578650	      0.01388825	      0.02121246
      0.49000000	      0.00579438	      0.01389769	      0.02139501
      0.49500000	      0.00582616	      0.01393575	      0.02161816
      0.50000000	      0.00585820	      0.01397403	      0.02198901
      0.50500000	      0.00588659	      0.01400784	      0.02236252
      0.51000000	      0.00589663	      0.01401979	      0.02277911
      0.51500000	      0.00593102	      0.01406060	      0.02286634
      0.52000000	      0.00593668	      0.01406731	      0.02359573
      0.52500000	      0.00594319	      0.01407503	      0.02384497
      0.53000000	      0.00595089	      0.01408414	      0.02427912
      0.53500000	      0.00595856	      0.01409321	      0.02444633
      0.54000000	      0.00596040	      0.01409539	      0.02455484
      0.54500000	      0.00597617	      0.01411402	      0.02452045
      0.55000000	      0.00597092	      0.01410782	      0.02491269
      0.55500000	      0.00598737	      0.01412724	      0.02482947
