Model Marker Errors from IK
version=1
nRows=677
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00675126	      0.01500140	      0.02451493
      0.00500000	      0.00671632	      0.01496253	      0.02398060
      0.01000000	      0.00654060	      0.01476550	      0.02382882
      0.01500000	      0.00646281	      0.01467743	      0.02346393
      0.02000000	      0.00638256	      0.01458602	      0.02332178
      0.02500000	      0.00632556	      0.01452075	      0.02341619
      0.03000000	      0.00630177	      0.01449341	      0.02313648
      0.03500000	      0.00628892	      0.01447863	      0.02374229
      0.04000000	      0.00641789	      0.01462633	      0.02370515
      0.04500000	      0.00648439	      0.01470191	      0.02396330
      0.05000000	      0.00653989	      0.01476470	      0.02420671
      0.05500000	      0.00656987	      0.01479851	      0.02412232
      0.06000000	      0.00652483	      0.01474769	      0.02424064
      0.06500000	      0.00649840	      0.01471779	      0.02374803
      0.07000000	      0.00640608	      0.01461287	      0.02318938
      0.07500000	      0.00624305	      0.01442573	      0.02325199
      0.08000000	      0.00608802	      0.01424549	      0.02283910
      0.08500000	      0.00596551	      0.01410143	      0.02250122
      0.09000000	      0.00586866	      0.01398650	      0.02222206
      0.09500000	      0.00571028	      0.01379648	      0.02214737
      0.10000000	      0.00563853	      0.01370953	      0.02171942
      0.10500000	      0.00558801	      0.01364796	      0.02121258
      0.11000000	      0.00558009	      0.01363830	      0.02083813
      0.11500000	      0.00559669	      0.01365856	      0.02041171
      0.12000000	      0.00564418	      0.01371639	      0.02034663
      0.12500000	      0.00569761	      0.01378116	      0.02038872
      0.13000000	      0.00572611	      0.01381558	      0.02034124
      0.13500000	      0.00576503	      0.01386245	      0.02075721
      0.14000000	      0.00576139	      0.01385808	      0.02085326
      0.14500000	      0.00577996	      0.01388040	      0.02116655
      0.15000000	      0.00581813	      0.01392615	      0.02122832
      0.15500000	      0.00578596	      0.01388760	      0.02119545
      0.16000000	      0.00580455	      0.01390988	      0.02119074
      0.16500000	      0.00580612	      0.01391176	      0.02120604
      0.17000000	      0.00582761	      0.01393749	      0.02111213
      0.17500000	      0.00583018	      0.01394057	      0.02116972
      0.18000000	      0.00581221	      0.01391906	      0.02135794
      0.18500000	      0.00582454	      0.01393382	      0.02128348
      0.19000000	      0.00584341	      0.01395638	      0.02098954
      0.19500000	      0.00581731	      0.01392517	      0.02130360
      0.20000000	      0.00583155	      0.01394220	      0.02119648
      0.20500000	      0.00582204	      0.01393082	      0.02120339
      0.21000000	      0.00582845	      0.01393850	      0.02110140
      0.21500000	      0.00581048	      0.01391699	      0.02173968
      0.22000000	      0.00581528	      0.01392274	      0.02185307
      0.22500000	      0.00587145	      0.01398981	      0.02201090
      0.23000000	      0.00582514	      0.01393454	      0.02192333
      0.23500000	      0.00584384	      0.01395689	      0.02205388
      0.24000000	      0.00586177	      0.01397828	      0.02215029
      0.24500000	      0.00586697	      0.01398448	      0.02229754
      0.25000000	      0.00588502	      0.01400597	      0.02254235
      0.25500000	      0.00590647	      0.01403147	      0.02263756
      0.26000000	      0.00591420	      0.01404065	      0.02305391
      0.26500000	      0.00592817	      0.01405723	      0.02305493
      0.27000000	      0.00594457	      0.01407666	      0.02308863
      0.27500000	      0.00596261	      0.01409800	      0.02312817
      0.28000000	      0.00596390	      0.01409952	      0.02341644
      0.28500000	      0.00599378	      0.01413480	      0.02349755
      0.29000000	      0.00601365	      0.01415821	      0.02350958
      0.29500000	      0.00605617	      0.01420818	      0.02368842
      0.30000000	      0.00605699	      0.01420914	      0.02357909
      0.30500000	      0.00608822	      0.01424573	      0.02379529
      0.31000000	      0.00611303	      0.01427472	      0.02397968
      0.31500000	      0.00609864	      0.01425791	      0.02395486
      0.32000000	      0.00611780	      0.01428029	      0.02404051
      0.32500000	      0.00612834	      0.01429259	      0.02411502
      0.33000000	      0.00610046	      0.01426003	      0.02409291
      0.33500000	      0.00609821	      0.01425741	      0.02409218
      0.34000000	      0.00609782	      0.01425696	      0.02405861
      0.34500000	      0.00609708	      0.01425608	      0.02400778
      0.35000000	      0.00609851	      0.01425775	      0.02395607
      0.35500000	      0.00608665	      0.01424389	      0.02373946
      0.36000000	      0.00608428	      0.01424111	      0.02371763
      0.36500000	      0.00608621	      0.01424337	      0.02363961
      0.37000000	      0.00609609	      0.01425492	      0.02357077
      0.37500000	      0.00608962	      0.01424737	      0.02327598
      0.38000000	      0.00610212	      0.01426197	      0.02315104
      0.38500000	      0.00613310	      0.01429813	      0.02300014
      0.39000000	      0.00619489	      0.01436998	      0.02272943
      0.39500000	      0.00623930	      0.01442140	      0.02267827
      0.40000000	      0.00628964	      0.01447945	      0.02260876
      0.40500000	      0.00635290	      0.01455209	      0.02274488
      0.41000000	      0.00641145	      0.01461899	      0.02256490
      0.41500000	      0.00645869	      0.01467275	      0.02243810
      0.42000000	      0.00651414	      0.01473560	      0.02254657
      0.42500000	      0.00654468	      0.01477011	      0.02237502
      0.43000000	      0.00659016	      0.01482134	      0.02234623
      0.43500000	      0.00661596	      0.01485032	      0.02197856
      0.44000000	      0.00662522	      0.01486071	      0.02203902
      0.44500000	      0.00656250	      0.01479020	      0.02188766
      0.45000000	      0.00650775	      0.01472837	      0.02171852
      0.45500000	      0.00644367	      0.01465568	      0.02157741
      0.46000000	      0.00637226	      0.01457425	      0.02175221
      0.46500000	      0.00627706	      0.01446497	      0.02138579
      0.47000000	      0.00618997	      0.01436427	      0.02109059
      0.47500000	      0.00610816	      0.01426903	      0.02144352
      0.48000000	      0.00602451	      0.01417099	      0.02102113
      0.48500000	      0.00596668	      0.01410282	      0.02069704
      0.49000000	      0.00599946	      0.01414150	      0.02060219
      0.49500000	      0.00591220	      0.01403828	      0.02044786
      0.50000000	      0.00569052	      0.01377258	      0.02024249
      0.50500000	      0.00563852	      0.01370951	      0.01992397
      0.51000000	      0.00554865	      0.01359981	      0.01952160
      0.51500000	      0.00546461	      0.01349644	      0.01929405
      0.52000000	      0.00537378	      0.01338380	      0.01949661
      0.52500000	      0.00514749	      0.01309897	      0.01900907
      0.53000000	      0.00506068	      0.01298804	      0.01897302
      0.53500000	      0.00484205	      0.01270439	      0.01890825
      0.54000000	      0.00474956	      0.01258247	      0.01901497
      0.54500000	      0.00465814	      0.01246079	      0.01928030
