Inverse Dynamics Generalized Forces
version=1
nRows=750
nColumns=67
inDegrees=no
endheader
time	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_rot_r_moment	knee_adduc_r_moment	knee_angle_l_moment	knee_rot_l_moment	knee_adduc_l_moment	neck_flexion_moment	neck_lateral_bending_moment	neck_rotation_moment	arm_flex_r_moment	arm_add_r_moment	arm_rot_r_moment	arm_flex_l_moment	arm_add_l_moment	arm_rot_l_moment	ankle_angle_r_moment	ankle_rot_r_moment	ankle_add_r_moment	ankle_angle_l_moment	ankle_rot_l_moment	ankle_add_l_moment	elbow_flex_r_moment	elbow_rot_r_moment	elbow_add_r_moment	elbow_flex_l_moment	elbow_rot_l_moment	elbow_add_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	pro_sup_r_moment	pro_sup_l_moment	mtp_angle_r_moment	mtp_rot_r_moment	mtp_add_r_moment	mtp_angle_l_moment	mtp_rot_l_moment	mtp_add_l_moment	wrist_flex_r_moment	wrist_adduc_r_moment	wrist_rot_r_moment	wrist_flex_l_moment	wrist_adduc_l_moment	wrist_rot_l_moment	wrist_dev_r_moment	wrist_dev_l_moment	hand_finger_flex_r_moment	hand_finger_adduc_r_moment	hand_finger_rot_r_moment	hand_finger_flex_l_moment	hand_finger_adduc_l_moment	hand_finger_rot_l_moment
      0.00000000	      7.39796565	    105.44558488	   -207.34368018	    214.27745504	   -334.84715632	    -71.26376146	     -9.72541501	     16.99830492	      5.39481354	    -25.34087275	   -100.15310218	     -1.63731929	    -76.37680155	     90.92459250	   -104.22451892	      1.51262612	      5.26884584	     22.29379367	    -14.89038236	      8.07298003	     50.69616623	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      2.05997779	      2.93976326	      0.43589314	     -1.83971809	      3.99491680	      2.01782009	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.47275385	     -3.45711256	      0.00000000	      0.00000000	      0.16442438	      0.24291964	      0.17807206	     -1.16399593	      0.35944599	      0.78271628	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     27.61125266	    -48.66734699	    -54.64359361	     74.66780439	   -199.62629116	    156.07918742	     -6.31121892	    -14.18616371	      6.35144588	     -1.92805361	     25.40524235	    -17.85913848	    -32.19558114	     49.91056809	    -70.33848455	     -1.41905583	      1.04670746	     -1.46361640	     -0.92524493	      2.40176444	     -9.15614718	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.37133519	     -0.03892443	     -0.16074367	     -1.27611746	     -0.30657777	      0.29764555	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.42571492	      0.07951397	      0.00000000	      0.00000000	      0.06317805	     -0.02450090	      0.09318209	     -0.64402442	      0.06963735	      0.48881819	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	    -32.62623336	      9.06207983	     58.15071878	   -112.77949104	    510.64772276	    -12.54337930	     -4.31373247	     26.26086555	    -13.90381430	     -4.45868093	      9.19227146	      0.90245234	     51.18024682	    -39.47364274	     42.27691688	     -2.18876765	     -4.12187995	     -0.87128849	     -0.85693666	      0.55937366	      3.66775981	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.77150926	     -2.19364335	     -0.37909349	      3.02814180	      0.65528155	     -0.82279081	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.29760128	     -0.07738285	      0.00000000	      0.00000000	     -0.09611933	     -0.22364706	     -0.07696149	      0.70269925	     -0.00801240	     -0.65316876	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     -7.46290717	     -9.70516228	      7.44116779	   -402.68741518	     20.20789697	    -96.23714449	    -23.81176395	    -25.89902942	     15.95850911	    -11.34212441	     -7.57005496	      3.55841570	      4.07734821	     -4.99386036	     25.08334776	      1.69778461	      5.40068356	      1.65621466	     -1.37038806	     -1.80448029	     -3.01365616	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.24999754	      3.18863410	      0.59715955	     -1.74469379	     -1.20025623	      0.55966727	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.94578840	      0.38959430	      0.00000000	      0.00000000	      0.16938205	      0.33214230	      0.14578464	     -0.57942094	     -0.08465512	      0.51117721	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     -8.77421777	      3.42731370	      2.08907741	   -195.59966552	    529.10343592	     77.29244090	    -11.20480287	     26.89181249	     -7.61045706	      3.54496370	      8.84379991	     -1.19403485	     56.13922176	    -10.01423400	    -13.80254398	     -5.36956978	     -2.77663831	     -0.79973008	      0.93596540	      1.35873438	      2.23330599	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.03108072	     -2.12073123	     -0.43035388	      2.47065544	      1.11437169	     -0.58470705	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.44877782	     -0.49845759	      0.00000000	      0.00000000	     -0.04851936	     -0.21521270	     -0.01212613	      0.34113580	      0.09679976	     -0.38414085	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	    -34.20302502	    -51.13648582	     36.47861603	   -124.14404830	    274.20309162	    -63.05954897	    -23.44030598	    -13.78746306	      1.31060646	      4.85280920	      1.35472467	      2.55035987	     14.37849584	    -40.00827127	     33.88944687	     -0.97608328	      1.91959391	      4.12576311	      1.53151444	     -1.18979461	     -1.97248926	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.47563820	      1.58304625	      0.37990597	      0.20628987	     -0.75428880	     -0.07720798	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.05385588	      0.43073512	      0.00000000	      0.00000000	      0.10043464	      0.15894352	      0.08223868	     -0.02649028	     -0.07398802	      0.02354872	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	     -7.22675998	     85.99268415	    -63.78674174	   -260.14738913	     47.40191392	   -129.24866735	    -12.81378288	     21.91040801	     -0.61037195	     -3.21568515	      9.88826291	     -6.32731447	    -35.95174531	     26.14481023	    -35.60313918	     -1.89465274	     -1.05728447	     -1.99302958	     -1.15010721	      1.62051906	     -0.03274355	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.74760141	     -1.00216159	     -0.27982244	      2.20545634	      0.96955066	     -0.29199995	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.63725009	     -0.60917961	      0.00000000	      0.00000000	     -0.11334858	     -0.09973036	     -0.11060515	     -0.00541696	      0.11964638	     -0.11227227	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	      2.27525084	    -94.40628546	    109.17966369	     -8.03819052	    910.06585543	    182.51559488	     -1.95514856	    -16.25012272	     -0.77722779	     26.88509319	     -0.99173778	     14.10716216	    122.37907018	    -28.67704171	     73.07007947	     -3.98711282	      0.94016429	      0.88488884	      9.09867160	     -3.23791364	     -2.99396258	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.50067676	      0.87675350	      0.15727190	      0.11079985	     -1.15295829	     -0.27845344	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.38550427	      0.79523194	      0.00000000	      0.00000000	      0.20599949	      0.10422447	      0.21177870	      0.30647097	     -0.12390448	     -0.19146434	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	     45.08554109	     10.57811889	    -46.05875304	    -50.06946027	   -189.65111473	   -106.05401284	    -10.17581486	      0.56602062	      4.90274291	     13.83478314	      6.46705242	    -15.75095101	    -45.96733455	     -6.31340536	    -24.80085889	     -2.87950402	     -0.28848947	     -2.99645381	      2.10131115	      2.69550758	     -1.34071376	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.02732407	     -1.12920047	     -0.04866761	      0.79196666	      0.80819469	     -0.07786449	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.84956806	     -0.48233403	      0.00000000	      0.00000000	      0.02141726	     -0.12482786	      0.07981371	     -0.25969152	      0.11843865	      0.13155476	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	    -64.14987653	      3.07730586	     39.39101524	    -96.76770869	    578.05126534	   -169.49902537	     -4.37619296	     28.94793097	     -2.08419157	    -12.20660474	     26.44661652	      1.01583076	      8.27915344	    -35.97240943	     15.70971160	     -0.34199217	      0.73349438	      2.64127521	     -2.16717138	     -0.99717335	     -3.97056446	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.63076011	      0.88570445	     -0.10571174	      1.15421879	     -0.35747897	     -0.25060015	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.67853225	      0.22420372	      0.00000000	      0.00000000	     -0.13375198	      0.11344622	     -0.19009080	      0.12489234	     -0.03621648	     -0.13340407	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
