Inverse Dynamics Generalized Forces
version=1
nRows=800
nColumns=67
inDegrees=no
endheader
time,pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_rot_r_moment,knee_adduc_r_moment,knee_angle_l_moment,knee_rot_l_moment,knee_adduc_l_moment,neck_flexion_moment,neck_lateral_bending_moment,neck_rotation_moment,arm_flex_r_moment,arm_add_r_moment,arm_rot_r_moment,arm_flex_l_moment,arm_add_l_moment,arm_rot_l_moment,ankle_angle_r_moment,ankle_rot_r_moment,ankle_add_r_moment,ankle_angle_l_moment,ankle_rot_l_moment,ankle_add_l_moment,elbow_flex_r_moment,elbow_rot_r_moment,elbow_add_r_moment,elbow_flex_l_moment,elbow_rot_l_moment,elbow_add_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,pro_sup_r_moment,pro_sup_l_moment,mtp_angle_r_moment,mtp_rot_r_moment,mtp_add_r_moment,mtp_angle_l_moment,mtp_rot_l_moment,mtp_add_l_moment,wrist_flex_r_moment,wrist_adduc_r_moment,wrist_rot_r_moment,wrist_flex_l_moment,wrist_adduc_l_moment,wrist_rot_l_moment,wrist_dev_r_moment,wrist_dev_l_moment,hand_finger_flex_r_moment,hand_finger_adduc_r_moment,hand_finger_rot_r_moment,hand_finger_flex_l_moment,hand_finger_adduc_l_moment,hand_finger_rot_l_moment
      0.00000000,     45.94730353,    396.56644119,    -72.54627388,    580.05315741,   -215.12483440,   -463.90099187,     30.46431805,     94.69317702,    -16.23291635,    -24.36540691,   -168.40409741,     21.22198963,    -77.19722232,     42.30261628,     87.73869618,      8.91661023,     -0.26938972,     29.56530819,    -18.92493249,      9.48840974,     73.05208986,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.47411113,     -0.26027268,     -0.28439864,      1.81517185,      5.39322491,      2.61793352,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.39098609,     -5.58561624,      0.00000000,      0.00000000,      0.00690484,     -0.10704305,      0.05633378,     -0.66855206,      0.64536235,      0.31641223,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.00500000,     59.58458995,    -49.49104064,     42.49108847,    157.66618917,   -194.87952251,    -51.92107448,      1.23161874,     -5.77701812,      2.64596136,     -6.52928548,     37.20458046,    -29.98578903,    -25.36619102,    -31.99835918,     25.55437904,     -4.32600202,     -1.42067942,     -6.43789986,      0.21569086,      0.04019100,    -23.80515065,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.45286083,     -1.84942511,     -0.64075763,     -2.01488937,     -2.52629869,      1.15271379,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.52476432,      0.41414013,      0.00000000,      0.00000000,     -0.00161594,     -0.17531005,      0.06156215,     -0.75456203,      0.01965518,      0.75038264,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.01000000,    -72.24058323,    -43.48072509,    -88.13858276,   -119.58428568,    444.57398778,     63.88003027,     -5.52796593,     -5.09340868,     -0.60696453,    -12.28399109,     -4.79354158,      4.37724414,     -1.26223927,     14.21469503,    -82.59338951,      2.94998584,      1.87726703,      4.62615290,     -2.77635417,      1.10969969,      5.13656818,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.02310869,      2.05344537,      0.39465170,      0.36026583,      0.94258201,     -0.09571290,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.34157989,     -0.42932710,      0.00000000,      0.00000000,      0.03934015,      0.20241488,      0.01792099,      0.08858860,      0.05488810,     -0.11828564,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.01500000,     61.40530568,     36.34305143,     59.26592507,   -475.67148022,    400.57246294,     38.49607466,      5.44526135,     23.57883339,     -4.79861548,     -1.32095743,     -5.01314852,      6.25724486,     90.91512796,    -21.04635761,     42.84527597,     -2.84411134,     -2.19715883,     -0.81469989,      4.05704715,     -2.93231316,     -4.45833490,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.22215247,     -1.94632299,     -0.46456620,      1.82508283,      0.06621354,     -0.62984539,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.46952561,      0.15150313,      0.00000000,      0.00000000,     -0.00810854,     -0.21802568,      0.01081227,      0.36174689,     -0.02387319,     -0.30616491,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.02000000,    -59.13658442,    -13.99119479,    -41.07841935,    -33.16951847,    335.22409861,   -198.26633690,    -11.49289069,     -9.93775338,      3.21047006,     -3.32096362,     17.42558607,    -15.03602714,    -38.26965971,     -9.58825964,    -19.58058551,      3.69138236,      1.28651764,     -1.86672037,      4.27796662,      3.32559203,     -6.36831755,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.55458738,      1.54729930,      0.19071303,     -0.09390731,     -0.23756212,     -0.08371289,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.34846969,      0.20736897,      0.00000000,      0.00000000,     -0.17239066,      0.20013231,     -0.21535561,     -0.31456372,      0.05560989,      0.21735549,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.02500000,     53.39757986,    -31.02855304,     82.48812643,    -78.94609216,    247.94048195,    108.78872730,      9.98041356,     -2.63039959,      1.81530118,     21.55838927,      2.38077550,      3.44799944,     46.67095846,      5.98358278,     72.14793447,     -7.31668742,      0.87124286,      2.56426679,      8.70941242,     -1.58775857,     -1.00121252,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      3.72783013,     -0.25376739,      0.11752504,      0.08596115,     -0.48496362,     -0.15561479,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.77585463,      0.34506998,      0.00000000,      0.00000000,      0.33345087,     -0.05560876,      0.43869827,      0.09292057,     -0.05153285,     -0.04698577,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.03000000,    -14.80947899,     18.00109546,    -73.07196349,   -206.30798950,    521.04273255,    -70.72908843,     -2.15563439,      9.34385522,     -2.93758833,     -2.37558579,      0.87952095,     -6.20230469,     11.57044331,    -23.56398035,    -74.15372074,      6.26960250,     -1.46078780,     -3.18821814,      3.33164980,      1.15636319,     -4.55980715,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -2.80396100,     -0.26776895,     -0.28207866,      1.69751852,      0.39031645,     -0.58189686,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.19657033,     -0.01611756,      0.00000000,      0.00000000,     -0.29610515,     -0.00969660,     -0.36616361,      0.04996249,      0.06455395,     -0.11225352,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.03500000,      6.39555594,     -7.89575078,     29.96799471,    -74.40978987,    292.74543798,     29.46308105,      1.36752220,     -1.76510844,      1.05122461,     15.07588361,      5.94892658,     -0.95662806,      8.51046444,      6.89896884,     30.70764558,     -3.32307541,      0.44619935,      0.74778285,      6.36628077,     -0.30637155,     -1.76640064,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.38796100,     -0.00763394,      0.02867072,      0.38658793,     -0.18003921,     -0.21171036,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.24481181,      0.19536348,      0.00000000,      0.00000000,      0.11098057,     -0.00907644,      0.15169482,      0.01884589,     -0.00927894,     -0.02088173,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.04000000,      1.98958605,      0.18127093,      3.77314915,    -65.59638395,    399.19307064,    -14.62783307,     -0.96238879,      3.63462325,     -1.39855743,     11.97074412,     -0.09351793,     -0.64583221,     23.49716473,     -8.81487329,      6.60704906,      0.33327867,     -0.10987526,      0.02712837,      6.77902809,     -0.12052451,     -2.63880227,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.24993242,      0.14781375,      0.02311306,      0.93969915,     -0.07263037,     -0.29785873,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.06133380,      0.12003321,      0.00000000,      0.00000000,      0.01376891,      0.01465721,      0.02099227,      0.06060590,      0.01150632,     -0.06612290,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.04500000,    -16.84142092,     -2.82312570,    -18.62955624,     72.42021381,    251.65365791,     23.55796033,      0.90866687,     -6.94591352,      2.21712823,      9.93574928,      0.53838077,     -3.93660919,    -28.02666797,      7.52366870,    -19.76950948,     -2.36594745,     -0.01061387,     -0.87230582,      3.20142212,      0.84504439,      0.18565429,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.15617706,     -0.44803158,     -0.14578896,      0.34700719,      0.19568981,     -0.32939131,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.38461790,      0.08869123,      0.00000000,      0.00000000,     -0.02041844,     -0.04922644,     -0.00728082,     -0.03526838,      0.02348175,     -0.01131603,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
