Inverse Dynamics Generalized Forces
version=1
nRows=1714
nColumns=67
inDegrees=no
endheader
time	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_rot_r_moment	knee_adduc_r_moment	knee_angle_l_moment	knee_rot_l_moment	knee_adduc_l_moment	neck_flexion_moment	neck_lateral_bending_moment	neck_rotation_moment	arm_flex_r_moment	arm_add_r_moment	arm_rot_r_moment	arm_flex_l_moment	arm_add_l_moment	arm_rot_l_moment	ankle_angle_r_moment	ankle_rot_r_moment	ankle_add_r_moment	ankle_angle_l_moment	ankle_rot_l_moment	ankle_add_l_moment	elbow_flex_r_moment	elbow_rot_r_moment	elbow_add_r_moment	elbow_flex_l_moment	elbow_rot_l_moment	elbow_add_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	pro_sup_r_moment	pro_sup_l_moment	mtp_angle_r_moment	mtp_rot_r_moment	mtp_add_r_moment	mtp_angle_l_moment	mtp_rot_l_moment	mtp_add_l_moment	wrist_flex_r_moment	wrist_adduc_r_moment	wrist_rot_r_moment	wrist_flex_l_moment	wrist_adduc_l_moment	wrist_rot_l_moment	wrist_dev_r_moment	wrist_dev_l_moment	hand_finger_flex_r_moment	hand_finger_adduc_r_moment	hand_finger_rot_r_moment	hand_finger_flex_l_moment	hand_finger_adduc_l_moment	hand_finger_rot_l_moment
      0.00000000	    116.82933232	    -13.65566783	     52.92232204	   -882.79356729	    -59.05006539	   -628.28256523	     43.80311889	      2.30075926	      4.74851151	     -0.88965267	     20.37464646	    -13.19830964	    -16.98309823	    -78.03608145	     20.09649553	      3.83321016	     -0.62395699	     -1.74158300	      3.84041268	     -4.81395651	    -20.93899907	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      4.30894494	     -0.36259325	     -1.04489551	     -4.66783328	     -4.24126506	     -1.61026991	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.98405567	      4.38940338	      0.00000000	      0.00000000	      0.38183387	     -0.24681708	      0.47076243	     -0.26537509	     -0.66414261	      0.37361516	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     -2.61191699	     84.17400161	      0.71539952	   -755.62620681	     47.02942559	   -271.21199061	      2.06957260	      8.06235926	      2.01550604	      0.13388228	    -12.42786805	     -0.42440557	    -32.91468224	      8.05608243	    -21.28226173	     -6.51941247	     -1.10214563	     -1.38509912	      0.17885612	     -2.97944086	     -2.55200952	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      2.83603781	     -0.66999201	     -0.69831175	     -3.60425963	     -2.27439041	     -1.15838756	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.52498788	      2.85333728	      0.00000000	      0.00000000	      0.26083772	     -0.17084748	      0.32412545	     -0.23453117	     -0.42321657	      0.31544753	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	    -23.67561509	    -18.45650086	     -0.99600710	   -237.44861322	    121.74522172	     73.36087128	    -11.15020183	     10.22817214	     -2.15973779	     -0.54054008	      3.55105880	     -0.55127852	     -6.56295039	     -2.87578794	      1.88483462	    -10.69004599	     -0.35337206	      1.43914282	     -2.19280699	      0.79021563	      0.42948675	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.18265450	     -0.12130919	     -0.06896338	      1.21443369	      0.58416992	      0.35658713	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.08756656	     -0.84872991	      0.00000000	      0.00000000	     -0.03789233	      0.03941520	     -0.03184727	      0.06398927	      0.11478355	     -0.09926750	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     -2.16741731	      7.12613995	     27.25299180	    -21.81704456	    249.40596822	    -78.05775540	     -5.08881877	     -1.46609027	     -2.52620151	      3.22636042	     -2.67433629	      0.25960253	     10.57552178	     -3.84104978	     38.99488104	    -10.43303440	     -2.71290002	     -4.52171483	     -0.54256419	     -0.31085284	     -0.24852116	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.39433000	     -1.87197810	     -0.43802751	     -0.06413878	     -0.18698796	     -0.06068508	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.59265888	      0.14200895	      0.00000000	      0.00000000	      0.00829123	     -0.19662977	      0.07038235	      0.00322034	     -0.02364898	     -0.00223857	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	      9.77689098	     -8.40974589	    -11.54831499	    127.46678415	    372.13848633	     31.50590945	     -7.81695012	     10.10910083	     -1.75914877	      5.02448790	      6.23859868	      0.32175872	     26.00027820	    -10.57256946	    -12.81359142	    -10.19524460	      0.03370574	      2.66195094	     -3.02516879	      0.06288594	      0.59459028	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.15477608	      0.13382235	     -0.01044859	      0.46100179	      0.10706047	      0.15901772	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.07187244	     -0.28819057	      0.00000000	      0.00000000	     -0.00366415	      0.06001795	     -0.00291149	      0.01543228	      0.02289549	     -0.03246737	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	    -22.96120360	     -2.29643570	    -53.78076011	   -202.31309969	    134.22872630	     64.65525837	      0.38673510	      1.98307319	     -1.36441808	     -9.52428441	     -2.42376855	      0.87410732	    -17.71275115	     17.74766233	    -55.99605319	    -11.96624762	     -0.79183138	     -0.16478502	      1.85120300	     -0.17869134	      0.47972010	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.68696720	     -0.41585761	     -0.26208889	     -0.13809579	     -0.12840181	     -0.07284341	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.58780913	      0.15548776	      0.00000000	      0.00000000	      0.01153701	     -0.01888409	      0.04458846	      0.00828663	     -0.01013070	     -0.00012397	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	     15.74681284	      3.98728366	     43.93680921	    142.43072731	    319.09324528	     31.51284472	     -1.10131829	      0.25322683	     -0.48733174	      9.53397911	      4.40633366	     -0.56770084	     27.95648084	     -8.57022188	     44.62236940	     -2.27026272	     -0.19554948	      0.16565454	     -2.96831575	      0.15897114	     -0.04248851	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.07797072	     -0.11957510	     -0.02492153	      0.44638262	      0.10685103	      0.14641852	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.10201433	     -0.27688554	      0.00000000	      0.00000000	     -0.00030747	     -0.00599132	      0.00441984	      0.00637012	      0.02207008	     -0.02553323	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	    -18.88488488	    -13.03565735	    -14.65642137	   -138.16964598	    157.83894270	    -41.62225559	     -4.09987799	      1.27146229	     -0.02627567	      0.29702399	      0.51090738	     -0.44946596	    -12.69964183	     -1.50961853	    -11.83475040	     -5.73870532	     -0.82288531	     -2.03175037	      0.41682572	     -0.04986601	     -0.67236347	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.58571254	     -0.55809632	     -0.19970160	      0.15365507	     -0.08004279	      0.02005801	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.57115047	     -0.01410894	      0.00000000	      0.00000000	      0.00942024	     -0.05592595	      0.03388358	      0.00937025	      0.00426548	     -0.01497382	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	      6.14734549	     -6.69827774	     -5.03046311	     66.39571773	    279.89223702	    -56.44933027	      7.28039849	     -2.46275120	     -0.18746752	     -0.39963112	      1.98460707	      0.65369301	     10.86598878	     -1.61527951	     -0.56780404	      1.49847573	      0.27448920	      0.70015959	     -1.92536163	     -0.25320101	      0.23793186	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.09899205	      0.27718298	      0.01522702	      0.12043607	     -0.08791013	      0.03908378	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.12380504	     -0.02192243	      0.00000000	      0.00000000	      0.00701496	      0.01628288	      0.01068399	      0.00924822	     -0.00887522	     -0.01361051	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	    -20.77124275	     -3.01211079	     17.68139212	   -435.99881758	    -32.57339296	    436.56206804	    -10.07297253	     -4.95189586	      1.55608373	      2.66897121	     -0.51328326	     -2.09840783	    -24.06704033	     -1.44668568	      4.87614685	      0.25298124	     -1.47719765	     -5.30836411	     -3.36934171	      1.07773012	      0.36092654	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.15404823	     -1.44407315	     -0.36125112	      0.79902170	      0.59273968	      0.23803858	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.24616343	     -0.66263232	      0.00000000	      0.00000000	      0.01900933	     -0.19642254	      0.05773578	      0.00462825	      0.08644039	     -0.03830888	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
